global_paper_id,local_paper_id,title,domain,split,score,method
SKG_DIA_10,10,Multi-View Sequence-to-Sequence Models with Conversational Structure for Abstractive Dialogue Summarization,DIA,SKG,0.6954548762437107,tfidf
SKG_DIA_11,11,Multi-Turn Dialogue Generation in E-Commerce Platform with the Context of Historical Dialogue,DIA,SKG,0.6124362524421402,tfidf
SKG_DIA_12,12,A Compare Aggregate Transformer for Understanding Document-grounded Dialogue,DIA,SKG,0.6425560738115628,tfidf
SKG_DIA_13,13,Dr. Summarize Global Summarization of Medical Dialogue by Exploiting Local Structures.,DIA,SKG,0.5935545015917232,tfidf
SKG_DIA_14,14,Spot The Bot A Robust and Efficient Framework for the Evaluation of Conversational Dialogue Systems,DIA,SKG,0.6379948471619241,tfidf
SKG_DIA_15,15,On-line Active Reward Learning for Policy Optimisation in Spoken Dialogue Systems,DIA,SKG,0.6730014818129826,tfidf
SKG_DIA_16,16,Learning Efficient Dialogue Policy from Demonstrations through Shaping,DIA,SKG,0.8636330250723846,tfidf
SKG_DIA_17,17,Counterfactual Off-Policy Training for Neural Dialogue Generation,DIA,SKG,0.7569698423846544,tfidf
SKG_DIA_18,18,You Impress Me Dialogue Generation via Mutual Persona Perception,DIA,SKG,0.6472958838497861,tfidf
SKG_DIA_21,21,Deep Active Learning for Dialogue Generation,DIA,SKG,0.6102667007664512,tfidf
SKG_DIA_22,22,Semi-Supervised Dialogue Policy Learning via Stochastic Reward Estimation,DIA,SKG,0.803664092518585,tfidf
SKG_DIA_23,23,Evaluating and Enhancing the Robustness of Dialogue Systems A Case Study on a Negotiation Agent,DIA,SKG,0.7292069289073864,tfidf
SKG_DIA_24,24,PyDial A Multi-domain Statistical Dialogue System Toolkit,DIA,SKG,0.6644077164254824,tfidf
SKG_DIA_25,25,A Hierarchical Neural Model for Learning Sequences of Dialogue Acts,DIA,SKG,0.7270365073814361,tfidf
SKG_DIA_27,27,Dialogue Natural Language Inference,DIA,SKG,0.6555668806184701,tfidf
SKG_DIA_29,29,Will I Sound Like Me Improving Persona Consistency in Dialogues through Pragmatic Self-Consciousness,DIA,SKG,0.593755546980419,tfidf
SKG_DIA_30,30,Entity-Consistent End-to-end Task-Oriented Dialogue System with KB Retriever,DIA,SKG,0.6738683384237258,tfidf
SKG_DIA_31,31,Evaluating Persuasion Strategies and Deep Reinforcement Learning methods for Negotiation Dialogue agents,DIA,SKG,0.5518534461922147,tfidf
SKG_DIA_32,32,Using Paraphrasing and Memory-Augmented Models to Combat Data Sparsity in Question Interpretation with a Virtual Patient Dialogue System,DIA,SKG,0.6689872467723184,tfidf
SKG_DIA_34,34,Global-Locally Self-Attentive Encoder for Dialogue State Tracking,DIA,SKG,0.5926724039897975,tfidf
SKG_DIA_35,35,Dialogue Generation on Infrequent Sentence Functions via Structured Meta-Learning,DIA,SKG,0.6429688057261126,tfidf
SKG_DIA_36,36,DyKgChat Benchmarking Dialogue Generation Grounding on Dynamic Knowledge Graphs,DIA,SKG,0.6413986680452918,tfidf
SKG_DIA_39,39,Data Manipulation Towards Effective Instance Learning for Neural Dialogue Generation via Learning to Augment and Reweight,DIA,SKG,0.7937083148748882,tfidf
SKG_DIA_40,40,Wikification of Concept Mentions within Spoken Dialogues Using Domain Constraints from Wikipedia,DIA,SKG,0.6735581755638123,semantic
SKG_DIA_41,41,The World is Not Binary Learning to Rank with Grayscale Data for Dialogue Response Selection,DIA,SKG,0.7011314197438333,tfidf
SKG_DIA_42,42,Designing Precise and Robust Dialogue Response Evaluators,DIA,SKG,0.6799378391130763,tfidf
SKG_DIA_44,44,Dialogue-Act Prediction of Future Responses Based on Conversation History,DIA,SKG,0.6444237703042851,tfidf
SKG_DIA_45,45,A Contextual Hierarchical Attention Network with Adaptive Objective for Dialogue State Tracking,DIA,SKG,0.6721754956391328,tfidf
SKG_DIA_46,46,Spectral Analysis of Information Density in Dialogue Predicts Collaborative Task Performance,DIA,SKG,0.586067978556655,tfidf
SKG_DIA_47,47,Understanding Linguistic Accommodation in Code-Switched Human-Machine Dialogues,DIA,SKG,0.5002776536626459,tfidf
SKG_DIA_49,49,Learning an Unreferenced Metric for Online Dialogue Evaluation,DIA,SKG,0.6967054876114674,tfidf
SKG_DIA_50,50,What do Entity-Centric Models Learn Insights from Entity Linking in Multi-Party Dialogue,DIA,SKG,0.5396786166956691,tfidf
SKG_DIA_51,51,Modeling Multi-Action Policy for Task-Oriented Dialogues,DIA,SKG,0.7389428969615986,tfidf
SKG_DIA_53,53,MedDialog Large-scale Medical Dialogue Datasets,DIA,SKG,0.5983238872648988,tfidf
SKG_DIA_54,54,How Time Matters Learning Time-Decay Attention for Contextual Spoken Language Understanding in Dialogues,DIA,SKG,0.8240173169706201,tfidf
SKG_DIA_55,55,A Visually-grounded First-person Dialogue Dataset with Verbal and Non-verbal Responses,DIA,SKG,0.5090736402320768,tfidf
SKG_DIA_57,57,On-line Dialogue Policy Learning with Companion Teaching,DIA,SKG,0.6496906495440367,tfidf
SKG_DIA_58,58,Dialogue Learning with Human Teaching and Feedback in End-to-End Trainable Task-Oriented Dialogue Systems,DIA,SKG,0.7316553682756994,tfidf
SKG_DIA_60,60,Guided Dialogue Policy Learning without Adversarial Learning in the Loop,DIA,SKG,0.825898493799011,tfidf
SKG_DIA_61,61,Meta-Reinforced Multi-Domain State Generator for Dialogue Systems,DIA,SKG,0.6888719165261297,tfidf
SKG_DIA_62,62,Observing Dialogue in Therapy Categorizing and Forecasting Behavioral Codes,DIA,SKG,0.6271544236139227,tfidf
SKG_DIA_64,64,“I Object!” Modeling Latent Pragmatic Effects in Courtroom Dialogues,DIA,SKG,0.5858917778808621,tfidf
SKG_DIA_65,65,Pretrained Language Models for Dialogue Generation with Multiple Input Sources,DIA,SKG,0.7544248691441682,tfidf
SKG_DIA_66,66,ReCoSa Detecting the Relevant Contexts with Self-Attention for Multi-turn Dialogue Generation,DIA,SKG,0.6085538152387721,tfidf
SKG_DIA_68,68,Modeling Dialogue Acts with Content Word Filtering and Speaker Preferences,DIA,SKG,0.5858919572254147,tfidf
SKG_DIA_69,69,Modeling Long Context for Task-Oriented Dialogue State Generation,DIA,SKG,0.5684201665926266,tfidf
SKG_DIA_70,70,Dialogue Coherence Assessment Without Explicit Dialogue Act Labels,DIA,SKG,0.7222377587967228,tfidf
SKG_DIA_72,72,GRADE Automatic Graph-Enhanced Coherence Metric for Evaluating Open-Domain Dialogue Systems,DIA,SKG,0.8214504687282148,tfidf
SKG_DIA_73,73,PLATO Pre-trained Dialogue Generation Model with Discrete Latent Variable,DIA,SKG,0.5731285545273922,tfidf
SKG_DIA_75,75,AttnIO Knowledge Graph Exploration with In-and-Out Attention Flow for Knowledge-Grounded Dialogue,DIA,SKG,0.7450099762125576,tfidf
SKG_DIA_76,76,Improving Open-Domain Dialogue Systems via Multi-Turn Incomplete Utterance Restoration,DIA,SKG,0.5278628631036955,tfidf
SKG_DIA_77,77,Discriminative Deep Dyna-Q Robust Planning for Dialogue Policy Learning,DIA,SKG,0.7686768707549191,tfidf
SKG_DIA_78,78,Joint Modeling of Content and Discourse Relations in Dialogues,DIA,SKG,0.6102363083429662,tfidf
SKG_DIA_84,84,"Hello, It’s GPT-2 - How Can I Help You Towards the Use of Pretrained Language Models for Task-Oriented Dialogue Systems",DIA,SKG,0.5048114343151029,tfidf
SKG_DIA_86,86,Hidden Softmax Sequence Model for Dialogue Structure Analysis,DIA,SKG,0.654619571756429,tfidf
SKG_DIA_87,87,Natural Language Generation for Spoken Dialogue System using RNN Encoder-Decoder Networks,DIA,SKG,0.5534132820689786,tfidf
SKG_DIA_88,88,"ConvLab-2 An Open-Source Toolkit for Building, Evaluating, and Diagnosing Dialogue Systems",DIA,SKG,0.7639333909839918,tfidf
SKG_DIA_89,89,Dual Latent Variable Model for Low-Resource Natural Language Generation in Dialogue Systems,DIA,SKG,0.7798914062007833,tfidf
SKG_DIA_90,90,Constrained Decoding for Neural NLG from Compositional Representations in Task-Oriented Dialogue,DIA,SKG,0.5308035247021695,tfidf
SKG_DIA_96,96,A Practical Dialogue-Act-Driven Conversation Model for Multi-Turn Response Selection,DIA,SKG,0.7438503692932397,tfidf
SKG_DIA_97,97,Semantic Role Labeling Guided Multi-turn Dialogue ReWriter,DIA,SKG,0.7429529843932399,tfidf
SKG_DIA_98,98,GraphDialog Integrating Graph Knowledge into End-to-End Task-Oriented Dialogue Systems,DIA,SKG,0.6437885473509894,tfidf
SKG_DIA_99,99,Parallel Interactive Networks for Multi-Domain Dialogue State Generation,DIA,SKG,0.5846018907289021,tfidf
SKG_DIA_101,101,Template Guided Text Generation for Task-Oriented Dialogue,DIA,SKG,0.6340207614710242,tfidf
SKG_DIA_102,102,TOD-BERT Pre-trained Natural Language Understanding for Task-Oriented Dialogue,DIA,SKG,0.8120945971168112,tfidf
SKG_DIA_103,103,Diverse and Informative Dialogue Generation with Context-Specific Commonsense Knowledge Awareness,DIA,SKG,0.7736241884612035,tfidf
SKG_DIA_104,104,Importance-Driven Turn-Bidding for Spoken Dialogue Systems,DIA,SKG,0.6053981499999261,tfidf
SKG_DIA_105,105,GCDST A Graph-based and Copy-augmented Multi-domain Dialogue State Tracking,DIA,SKG,0.758326212350225,tfidf
SKG_DIA_106,106,Representing Movie Characters in Dialogues,DIA,SKG,0.6426149321150039,tfidf
SKG_DIA_107,107,Probing Task-Oriented Dialogue Representation from Language Models,DIA,SKG,0.6962182360003007,tfidf
SKG_DIA_108,108,Composite Task-Completion Dialogue Policy Learning via Hierarchical Deep Reinforcement Learning,DIA,SKG,0.7243526940447833,tfidf
SKG_DIA_109,109,Sequence-to-Sequence Generation for Spoken Dialogue via Deep Syntax Trees and Strings,DIA,SKG,0.6044625336289727,tfidf
SKG_DIA_111,111,Implicit Discourse Relation Identification for Open-domain Dialogues,DIA,SKG,0.6174394087104038,tfidf
SKG_DIA_112,112,Task-Completion Dialogue Policy Learning via Monte Carlo Tree Search with Dueling Network,DIA,SKG,0.7584863543073724,tfidf
SKG_DIA_113,113,DialogueGCN A Graph Convolutional Neural Network for Emotion Recognition in Conversation,DIA,SKG,0.6205371208707665,tfidf
SKG_DIA_115,115,Group-wise Contrastive Learning for Neural Dialogue Generation,DIA,SKG,0.5805633700810408,tfidf
SKG_DIA_116,116,Multi-turn Response Selection using Dialogue Dependency Relations,DIA,SKG,0.6368760688168497,tfidf
SKG_DIA_119,119,Actor-Double-Critic Incorporating Model-Based Critic for Task-Oriented Dialogue Systems,DIA,SKG,0.7456592772679315,tfidf
SKG_DIA_120,120,Knowledge Diffusion for Neural Dialogue Generation,DIA,SKG,0.60017409274465,tfidf
SKG_DIA_123,123,Goal-Embedded Dual Hierarchical Model for Task-Oriented Dialogue Generation,DIA,SKG,0.7376705524518684,tfidf
SKG_DIA_124,124,UniConv A Unified Conversational Neural Architecture for Multi-domain Task-oriented Dialogues,DIA,SKG,0.6184706637959516,tfidf
SKG_DIA_126,126,KdConv A Chinese Multi-domain Dialogue Dataset Towards Multi-turn Knowledge-driven Conversation,DIA,SKG,0.5977406369224059,tfidf
SKG_DIA_127,127,Improving Response Selection in Multi-Turn Dialogue Systems by Incorporating Domain Knowledge,DIA,SKG,0.5943683490684779,tfidf
SKG_DIA_128,128,"Personalizing Dialogue Agents I have a dog, do you have pets too",DIA,SKG,0.6783367789408832,tfidf
SKG_DIA_129,129,Dirichlet Latent Variable Hierarchical Recurrent Encoder-Decoder in Dialogue Generation,DIA,SKG,0.7024950435122066,tfidf
SKG_DIA_137,137,Decoupling Strategy and Generation in Negotiation Dialogues,DIA,SKG,0.5399135413680491,tfidf
SKG_DIA_139,139,Personalizing Dialogue Agents via Meta-Learning,DIA,SKG,0.6442314910323093,tfidf
SKG_DIA_141,141,An Auto-Encoder Matching Model for Learning Utterance-Level Semantic Dependency in Dialogue Generation,DIA,SKG,0.6847485492779077,tfidf
SKG_DIA_143,143,Queens are Powerful too Mitigating Gender Bias in Dialogue Generation,DIA,SKG,0.5654424938161832,tfidf
SKG_DIA_144,144,Neural Dialogue State Tracking with Temporally Expressive Networks,DIA,SKG,0.6568974817521853,tfidf
SKG_DIA_145,145,Knowledge-Grounded Dialogue Generation with Pre-trained Language Models,DIA,SKG,0.6494108690435917,tfidf
SKG_DIA_146,146,Affordable On-line Dialogue Policy Learning,DIA,SKG,0.6675087903805635,tfidf
SKG_DIA_147,147,A Semi-Supervised Stable Variational Network for Promoting Replier-Consistency in Dialogue Generation,DIA,SKG,0.8283286011315221,tfidf
SKG_DIA_149,149,Learning a Matching Model with Co-teaching for Multi-turn Response Selection in Retrieval-based Dialogue Systems,DIA,SKG,0.7938664897169515,tfidf
SKG_DIA_150,150,Skeleton-to-Response Dialogue Generation Guided by Retrieval Memory,DIA,SKG,0.7787733536137597,tfidf
SKG_DIA_151,151,Towards Low-Resource Semi-Supervised Dialogue Generation with Meta-Learning,DIA,SKG,0.7691067826539443,tfidf
SKG_DIA_153,153,Conditional Generation and Snapshot Learning in Neural Dialogue Systems,DIA,SKG,0.6272098966950264,tfidf
SKG_DIA_154,154,Multi-Domain Dialogue Acts and Response Co-Generation,DIA,SKG,0.6208658906009671,tfidf
SKG_DIA_155,155,Toward Stance-based Personas for Opinionated Dialogues,DIA,SKG,0.725753369436396,tfidf
SKG_DIA_156,156,Task-oriented Dialogue System for Automatic Diagnosis,DIA,SKG,0.5304489633714318,tfidf
SKG_DIA_158,158,Harnessing Sequence Labeling for Sarcasm Detection in Dialogue from TV Series ‘Friends’,DIA,SKG,0.6421550631724567,tfidf
SKG_DIA_159,159,Structured Attention for Unsupervised Dialogue Structure Induction,DIA,SKG,0.7473795419831805,tfidf
SKG_DIA_160,160,Game-Based Video-Context Dialogue,DIA,SKG,0.6557699466714444,tfidf
SKG_DIA_162,162,Deal or No Deal End-to-End Learning of Negotiation Dialogues,DIA,SKG,0.5468375543135173,tfidf
SKG_DIA_164,164,Retrieval-guided Dialogue Response Generation via a Matching-to-Generation Framework,DIA,SKG,0.7916033067377789,tfidf
SKG_DIA_165,165,Mitigating Gender Bias for Neural Dialogue Generation with Adversarial Learning,DIA,SKG,0.6405160953614296,tfidf
SKG_DIA_166,166,Sequicity Simplifying Task-oriented Dialogue Systems with Single Sequence-to-Sequence Architectures,DIA,SKG,0.6577627405515024,tfidf
SKG_DIA_167,167,Preserving Distributional Information in Dialogue Act Classification,DIA,SKG,0.5945991925640237,tfidf
SKG_DIA_168,168,Ordinal and Attribute Aware Response Generation in a Multimodal Dialogue System,DIA,SKG,0.5667208783343705,tfidf
SKG_DIA_169,169,MuTual A Dataset for Multi-Turn Dialogue Reasoning,DIA,SKG,0.5747736857758633,tfidf
SKG_DIA_173,173,Feudal Reinforcement Learning for Dialogue Management in Large Domains,DIA,SKG,0.6900106293189912,tfidf
SKG_DIA_177,177,BiST Bi-directional Spatio-Temporal Reasoning for Video-Grounded Dialogues,DIA,SKG,0.6455294818765503,tfidf
SKG_DIA_178,178,Using Customer Service Dialogues for Satisfaction Analysis with Context-Assisted Multiple Instance Learning,DIA,SKG,0.6542438675467431,tfidf
SKG_DIA_179,179,Subgoal Discovery for Hierarchical Dialogue Policy Learning,DIA,SKG,0.6672100612127119,tfidf
SKG_DIA_180,180,Approximation of Response Knowledge Retrieval in Knowledge-grounded Dialogue Generation,DIA,SKG,0.76252517000034,tfidf
SKG_DIA_182,182,Optimising Incremental Dialogue Decisions Using Information Density for Interactive Systems,DIA,SKG,0.5208629740035238,tfidf
SKG_DIA_185,185,Slot Attention with Value Normalization for Multi-Domain Dialogue State Tracking,DIA,SKG,0.7028452053762428,tfidf
SKG_DIA_186,186,Efficient Dialogue State Tracking by Selectively Overwriting Memory,DIA,SKG,0.6795124819348625,tfidf
SKG_DIA_187,187,Amalgamating Knowledge from Two Teachers for Task-oriented Dialogue System with Adversarial Training,DIA,SKG,0.6502946115278838,tfidf
SKG_DIA_188,188,Automatically Learning Data Augmentation Policies for Dialogue Tasks,DIA,SKG,0.5231049646386758,tfidf
SKG_DIA_191,191,SAS Dialogue State Tracking via Slot Attention and Slot Information Sharing,DIA,SKG,0.6099597636892565,tfidf
SKG_DIA_193,193,A Dual-Attention Hierarchical Recurrent Neural Network for Dialogue Act Classification,DIA,SKG,0.8128656807511008,tfidf
SKG_DIA_196,196,Enhancing Dialogue Symptom Diagnosis with Global Attention and Symptom Graph,DIA,SKG,0.8057718499700225,tfidf
SKG_DIA_197,197,CIMA A Large Open Access Dialogue Dataset for Tutoring,DIA,SKG,0.6900872588157654,semantic
SKG_DIA_200,200,LIDA Lightweight Interactive Dialogue Annotator,DIA,SKG,0.6452293916828877,tfidf
SKG_DIA_202,202,Dialogue Act Classification with Context-Aware Self-Attention,DIA,SKG,0.5947881864225771,tfidf
SKG_DIA_203,203,Linguistically-Informed Specificity and Semantic Plausibility for Dialogue Generation,DIA,SKG,0.6107117287773732,tfidf
SKG_DIA_204,204,Real-Time Speech Emotion and Sentiment Recognition for Interactive Dialogue Systems,DIA,SKG,0.5794418739013676,tfidf
SKG_DIA_206,206,MIE A Medical Information Extractor towards Medical Dialogues,DIA,SKG,0.6987269525139845,tfidf
SKG_DIA_209,209,Learning to Adapt to Unknown Users Referring Expression Generation in Spoken Dialogue Systems,DIA,SKG,0.615554607239639,tfidf
SKG_DIA_210,210,Fusing Eye Gaze with Speech Recognition Hypotheses to Resolve Exophoric References in Situated Dialogue,DIA,SKG,0.7191029938596543,tfidf
SKG_DIA_211,211,Discovering Latent Structure in Task-Oriented Dialogues,DIA,SKG,0.6865328904445953,tfidf
SKG_DIA_213,213,An Affect-Enriched Dialogue Act Classification Model for Task-Oriented Dialogue,DIA,SKG,0.5819732409881541,tfidf
SKG_DIA_214,214,Rethinking Supervised Learning and Reinforcement Learning in Task-Oriented Dialogue Systems,DIA,SKG,0.6946223361072219,tfidf
SKG_DIA_216,216,Adversarial Learning for Neural Dialogue Generation,DIA,SKG,0.6442605220995683,tfidf
SKG_DIA_218,218,Dialogue State Tracking with Explicit Slot Connection Modeling,DIA,SKG,0.6665370611274665,tfidf
SKG_DIA_219,219,Conversational Memory Network for Emotion Recognition in Dyadic Dialogue Videos,DIA,SKG,0.5916471038209878,tfidf
SKG_DIA_220,220,Using Paraphrases and Lexical Semantics to Improve the Accuracy and the Robustness of Supervised Models in Situated Dialogue Systems,DIA,SKG,0.6971861284919509,tfidf
SKG_DIA_222,222,DialSQL Dialogue Based Structured Query Generation,DIA,SKG,0.6755309037841627,tfidf
SKG_DIA_225,225,Zero-shot Cross-lingual Dialogue Systems with Transferable Latent Variables,DIA,SKG,0.6604421856386437,tfidf
SKG_DIA_226,226,"Generate, Delete and Rewrite A Three-Stage Framework for Improving Persona Consistency of Dialogue Generation",DIA,SKG,0.6280540850942274,tfidf
