paper_id,year,semantic_knn,structural_novelty,triple_count,cited_by_count,reference_count
SKG_QA_302,2011,0.9208141565322876,0.9157894736842104,95.0,248,28
SKG_MT_1024,2011,0.9238992929458618,0.8181818181818182,55.0,26,27
SKG_MT_144,2011,0.9288506507873536,0.7692307692307693,26.0,15,17
SKG_MT_813,2011,0.9405171275138856,0.896551724137931,29.0,9,28
SKG_SA_343,2011,0.9128748774528505,0.896551724137931,116.0,140,21
SKG_SA_567,2011,0.9218093752861024,0.8863636363636364,132.0,38,20
SKG_MT_368,2011,0.9286657571792604,0.8672566371681416,113.0,62,21
SKG_MT_697,2011,0.9403055310249328,0.9041095890410958,73.0,5,34
SKG_MT_595,2011,0.9287808537483216,0.8243243243243243,74.0,11,17
SKG_MT_964,2011,0.9301103353500366,0.8536585365853658,41.0,4,13
SKG_MT_966,2011,0.9168070554733276,0.9166666666666666,12.0,17,10
SKG_MT_962,2011,0.9182705879211426,0.8363636363636363,55.0,139,21
SKG_DIA_288,2011,0.9205220937728882,0.8925619834710744,121.0,14,37
SKG_MT_496,2011,0.9401029348373412,0.896551724137931,58.0,9,31
SKG_DIA_213,2011,0.9085872769355774,0.8157894736842105,38.0,53,43
SKG_MT_881,2011,0.9359641075134276,0.8529411764705882,102.0,43,24
SKG_SA_77,2011,0.9285494089126588,0.8581560283687943,141.0,167,27
SKG_MT_1306,2011,0.9360068440437316,0.9145299145299144,117.0,18,34
SKG_MT_58,2011,0.9207254648208618,0.9130434782608696,92.0,10,16
SKG_MT_280,2011,0.9221900701522828,0.9047619047619048,42.0,97,25
SKG_MT_286,2011,0.9354450106620787,0.8985507246376812,69.0,17,46
SKG_MT_919,2011,0.9286754727363586,0.953125,64.0,8,82
SKG_MT_440,2011,0.9285810589790344,0.9,80.0,11,20
SKG_MT_1111,2011,0.8417946696281433,0.8717948717948718,39.0,17,14
SKG_MT_1129,2011,0.9168070554733276,0.7037037037037037,27.0,17,10
SKG_SA_181,2011,0.8732401132583618,0.875,8.0,18,15
SKG_DIA_253,2011,0.8462539911270142,1.0,9.0,1,2
SKG_DIA_233,2011,0.8982076644897461,1.0,2.0,8,20
SKG_SA_192,2011,0.9257241487503052,0.811965811965812,117.0,246,10
SKG_MT_409,2011,0.9176656603813172,0.88,100.0,14,22
SKG_MT_1227,2011,0.8963738679885864,0.8888888888888888,9.0,56,15
SKG_QA_392,2011,0.9164015650749208,0.9090909090909092,44.0,8,26
SKG_PAR_14,2011,0.918910801410675,0.9642857142857144,28.0,28,35
SKG_MT_1132,2011,0.8417946696281433,0.8636363636363636,22.0,17,14
SKG_PAR_89,2011,0.9220903515815736,1.0,2.0,6,17
SKG_MT_1003,2011,0.9326593279838562,0.875,56.0,6,9
SKG_MT_712,2011,0.9355198740959167,0.8313253012048193,83.0,15,35
SKG_SUM_130,2011,0.9118784070014954,0.8333333333333334,24.0,22,10
SKG_SUM_110,2011,0.90122252702713,0.8846153846153846,52.0,9,27
SKG_QA_219,2012,0.7752319574356079,0.9016393442622952,61.0,15,27
SKG_QA_203,2012,0.9189556837081908,0.819672131147541,61.0,8,12
SKG_MT_1421,2012,0.9361969828605652,0.9175257731958762,97.0,24,28
SKG_MT_7,2012,0.953448474407196,0.9020618556701032,194.0,22,26
SKG_MT_832,2012,0.93533456325531,0.8571428571428571,70.0,25,30
SKG_MT_835,2012,0.921446681022644,0.9545454545454546,22.0,1,21
SKG_MT_93,2012,0.942705512046814,0.8604651162790697,43.0,48,45
SKG_SA_268,2012,0.9330838322639464,0.9142857142857144,35.0,163,40
SKG_PAR_200,2012,0.9095250964164734,0.82,50.0,21,19
SKG_MT_535,2012,0.9369350671768188,0.8333333333333334,114.0,40,24
SKG_PAR_3,2012,0.9117158651351928,0.912087912087912,91.0,44,35
SKG_SA_565,2012,0.929702877998352,0.8666666666666667,60.0,23,24
SKG_MT_1327,2012,0.9350900650024414,0.8543689320388349,103.0,5,31
SKG_MT_1276,2012,0.9472179412841796,0.8264462809917356,121.0,15,25
SKG_MT_346,2012,0.9375354647636414,0.8648648648648649,111.0,56,21
SKG_MT_1165,2012,0.9422852396965028,0.8732394366197183,71.0,37,44
SKG_MT_1395,2012,0.9384799003601074,0.8113207547169812,106.0,13,18
SKG_MT_1400,2012,0.9392881393432616,0.7241379310344828,29.0,22,21
SKG_MT_613,2012,0.9293379783630372,0.9,110.0,19,41
SKG_MT_622,2012,0.9146377444267272,0.9285714285714286,42.0,2,0
SKG_MT_576,2012,0.9128580093383788,0.8,10.0,3,25
SKG_SA_554,2012,0.9202829599380492,0.8737864077669902,103.0,61,16
SKG_MT_1177,2012,0.9434460401535034,0.8602941176470589,136.0,5,34
SKG_MT_1425,2012,0.9386528730392456,0.8225806451612904,62.0,8,20
SKG_MT_550,2012,0.6738218665122986,0.8837209302325582,86.0,121,33
SKG_MT_85,2012,0.9423294067382812,0.7708333333333334,48.0,8,14
SKG_MT_92,2012,0.9361969232559204,0.8095238095238095,21.0,24,28
SKG_MT_89,2012,0.9286999702453612,0.7946428571428571,112.0,169,21
SKG_MT_1175,2012,0.7752319574356079,0.9166666666666666,12.0,7,17
SKG_MT_788,2012,0.9280381202697754,0.8414634146341463,82.0,15,33
SKG_MT_1376,2012,0.9455555081367492,0.8314606741573034,89.0,8,18
SKG_MT_1473,2012,0.9451781511306764,0.8723404255319149,47.0,34,30
SKG_SA_24,2012,0.9149532318115234,0.7924528301886793,53.0,966,21
SKG_MT_1361,2012,0.9381465911865234,0.8771929824561403,114.0,70,42
SKG_MT_1236,2012,0.8731606602668762,0.8723404255319149,47.0,26,11
SKG_MT_1228,2012,0.9472179412841796,0.8205128205128205,39.0,15,25
SKG_SA_148,2012,0.9184222221374512,0.9607843137254902,51.0,96,26
SKG_MT_78,2012,0.9361066818237304,0.9019607843137256,51.0,239,33
SKG_MT_74,2012,0.9288231134414672,0.8235294117647058,102.0,45,46
SKG_MT_451,2012,0.9247159957885742,0.8365384615384616,104.0,27,22
SKG_MT_239,2012,0.9372633695602416,0.7894736842105263,19.0,87,26
SKG_MT_234,2012,0.9317083358764648,0.8648648648648649,111.0,87,17
SKG_MT_373,2012,0.9190605282783508,0.7872340425531915,47.0,16,31
SKG_MT_389,2012,0.806627094745636,0.8333333333333334,6.0,26,18
SKG_MT_259,2012,0.932247757911682,0.8677685950413223,121.0,5,12
SKG_MT_480,2012,0.9156676530838012,0.8507462686567164,67.0,51,21
SKG_MT_865,2012,0.9350345730781556,0.8225806451612904,62.0,4,9
SKG_DIA_182,2012,0.9246038198471068,0.88,25.0,37,37
SKG_MT_453,2012,0.9382346868515016,0.847457627118644,118.0,143,29
SKG_MT_469,2012,0.9297515749931335,0.8961038961038961,77.0,40,35
SKG_DIA_231,2012,0.9056788682937622,0.8666666666666667,15.0,175,16
SKG_MT_981,2012,0.8982251286506653,0.9444444444444444,18.0,1,9
SKG_QA_417,2012,0.8839455842971802,0.8,80.0,66,28
SKG_SA_5,2012,0.9315387606620787,0.8780487804878049,369.0,65,25
SKG_MT_1077,2012,0.9221858978271484,0.8490566037735849,106.0,138,32
SKG_QA_487,2012,0.916898548603058,0.75,60.0,5,27
SKG_MT_283,2012,0.9346089363098145,0.8592592592592593,135.0,8,35
SKG_MT_1062,2012,0.930868923664093,0.8625,80.0,25,16
SKG_MT_1065,2012,0.941053032875061,0.7469879518072289,83.0,43,22
SKG_MT_945,2012,0.939919650554657,0.8363636363636363,55.0,3,12
SKG_MT_410,2012,0.9474870562553406,0.8148148148148148,108.0,4,33
SKG_PAR_127,2012,0.920176327228546,0.9,50.0,9,32
SKG_MT_1174,2012,0.9304567575454712,0.85,100.0,5,11
SKG_MT_1191,2012,0.9397330284118652,0.8809523809523809,42.0,10,12
SKG_MT_1209,2012,0.9125903248786926,0.9285714285714286,70.0,102,52
SKG_MT_1349,2012,0.935231387615204,0.7833333333333333,60.0,8,24
SKG_MT_415,2012,0.9241535067558287,0.8461538461538461,39.0,3,20
SKG_SUM_72,2012,0.9247158765792848,0.8365384615384616,104.0,27,22
SKG_MT_724,2012,0.947677493095398,0.8503937007874016,127.0,2,33
SKG_SUM_147,2012,0.9241622686386108,0.9310344827586208,29.0,62,11
SKG_SUM_59,2012,0.9229167103767396,0.9391891891891893,148.0,116,25
SKG_SUM_97,2012,0.7752319574356079,0.9016393442622952,61.0,15,27
SKG_MT_131,2012,0.9395316243171692,0.7916666666666666,96.0,58,44
SKG_SUM_0,2013,0.9375856518745422,0.8235294117647058,187.0,69,34
SKG_SUM_34,2013,0.9232589602470398,0.8461538461538461,52.0,6,23
SKG_MT_1280,2013,0.9255291223526,0.8269230769230769,52.0,46,21
SKG_MT_1282,2013,0.9474921226501464,0.7362637362637363,91.0,23,25
SKG_MT_1290,2013,0.9394741058349608,0.8849557522123894,113.0,36,51
SKG_SUM_76,2013,0.9217089414596558,0.8909090909090909,55.0,4,29
SKG_SA_609,2013,0.93037211894989,0.8195488721804511,133.0,14,20
SKG_SA_590,2013,0.9236438870429992,0.8363636363636363,55.0,1,21
SKG_SA_597,2013,0.8616654276847839,0.9126984126984128,126.0,6646,42
SKG_MT_707,2013,0.9321985244750975,0.8478260869565217,138.0,15,36
SKG_MT_708,2013,0.9454973340034484,0.7560975609756098,82.0,41,17
SKG_SA_435,2013,0.9240905046463012,0.8807947019867549,151.0,460,15
SKG_MT_740,2013,0.9581550359725952,0.8616352201257862,159.0,4,16
SKG_MT_741,2013,0.9436426162719728,0.6511627906976745,86.0,20,23
SKG_MT_748,2013,0.9360209703445436,0.8205128205128205,78.0,54,35
SKG_MT_752,2013,0.9489681124687196,0.7974683544303798,158.0,14,33
SKG_MT_719,2013,0.9429295659065248,0.8450704225352113,71.0,17,17
SKG_MT_725,2013,0.937989056110382,0.8292682926829268,82.0,1,25
SKG_SA_414,2013,0.912179946899414,0.8703703703703703,54.0,216,27
SKG_SUM_154,2013,0.935139536857605,0.8297872340425532,47.0,29,19
SKG_SUM_155,2013,0.9122474789619446,0.9117647058823528,68.0,48,34
SKG_MT_682,2013,0.9385780096054076,0.82,100.0,14,49
SKG_SUM_180,2013,0.9168227910995485,0.9210526315789472,76.0,32,13
SKG_MT_80,2013,0.9375952482223512,0.8181818181818182,44.0,3,19
SKG_MT_1310,2013,0.9375360608100892,0.8142857142857143,140.0,83,61
SKG_MT_1242,2013,0.9389768838882446,0.7745098039215687,102.0,39,19
SKG_MT_147,2013,0.9372721910476683,0.7818181818181819,55.0,9,12
SKG_MT_156,2013,0.928785502910614,0.726027397260274,73.0,3,27
SKG_MT_1211,2013,0.9303216934204102,0.7368421052631579,38.0,32,21
SKG_MT_940,2013,0.9368575811386108,0.8313253012048193,83.0,6,17
SKG_MT_1101,2013,0.9374839663505554,0.8279569892473119,93.0,31,36
SKG_MT_268,2013,0.9365171194076538,0.8785046728971962,107.0,26,32
SKG_MT_277,2013,0.9526382684707642,0.8258064516129032,155.0,8,22
SKG_PAR_106,2013,0.9303733110427856,0.8611111111111112,72.0,4,36
SKG_MT_282,2013,0.9398872256278992,0.8051948051948052,77.0,7,39
SKG_MT_290,2013,0.9091030359268188,0.8461538461538461,143.0,10,31
SKG_MT_1069,2013,0.9206191301345824,0.8823529411764706,51.0,11,23
SKG_MT_1082,2013,0.9310288429260254,0.8301886792452831,159.0,39,34
SKG_MT_955,2013,0.9377436637878418,0.8142857142857143,70.0,1,32
SKG_MT_922,2013,0.9226472973823548,0.8461538461538461,52.0,32,27
SKG_SA_32,2013,0.9241929054260254,0.8840579710144928,69.0,79,58
SKG_SA_40,2013,0.9229097366333008,0.8947368421052632,57.0,11,10
SKG_SA_48,2013,0.922663390636444,0.902439024390244,41.0,95,38
SKG_MT_885,2013,0.9503342509269714,0.8108108108108109,37.0,3,20
SKG_MT_891,2013,0.9408010244369508,0.8194444444444444,72.0,32,28
SKG_SA_111,2013,0.932866096496582,0.9013157894736842,152.0,76,37
SKG_DIA_220,2013,0.9117586016654968,0.7647058823529411,68.0,2,11
SKG_MT_973,2013,0.9341453313827516,0.8521739130434782,115.0,2,31
SKG_SA_526,2013,0.924912452697754,0.8629032258064516,124.0,12,25
SKG_MT_591,2013,0.9361940622329712,0.7976190476190477,84.0,31,21
SKG_MT_705,2013,0.9376010894775392,0.8155339805825242,103.0,56,30
SKG_MT_706,2013,0.9377437829971312,0.8235294117647058,85.0,21,25
SKG_SA_4,2013,0.8616654276847839,0.9096774193548388,155.0,6646,42
SKG_SA_191,2013,0.9339008331298828,0.8470588235294118,85.0,28,23
SKG_MT_1225,2013,0.9222049713134766,0.8333333333333334,24.0,6,16
SKG_MT_77,2013,0.9496658444404602,0.8269230769230769,104.0,35,24
SKG_MT_79,2013,0.9423404932022096,0.8549618320610687,131.0,1332,18
SKG_SA_229,2013,0.9163161516189576,0.8695652173913043,92.0,3,19
SKG_MT_225,2013,0.949590027332306,0.7129629629629629,108.0,5,38
SKG_PAR_139,2013,0.9163246154785156,0.8615384615384616,65.0,2,28
SKG_MT_1090,2013,0.948749840259552,0.8681318681318682,182.0,258,27
SKG_MT_481,2013,0.9414942860603333,0.8405797101449275,138.0,9,18
SKG_MT_869,2013,0.9333523511886596,0.9117647058823528,68.0,2,11
SKG_MT_22,2013,0.936293125152588,0.7653061224489796,98.0,20,27
SKG_MT_1386,2013,0.9340189099311828,0.8426966292134831,178.0,11,11
SKG_MT_44,2013,0.950585663318634,0.7831325301204819,83.0,20,38
SKG_PAR_20,2013,0.9267781376838684,0.7974683544303798,79.0,15,16
SKG_MT_371,2013,0.9378460049629213,0.8581560283687943,141.0,44,27
SKG_MT_372,2013,0.9439321756362916,0.7560975609756098,82.0,4,40
SKG_MT_375,2013,0.9378824234008788,0.7837837837837838,37.0,12,14
SKG_MT_376,2013,0.9350557327270508,0.8779342723004695,213.0,5,40
SKG_QA_84,2013,0.921160876750946,0.95,20.0,4,32
SKG_QA_3,2013,0.9292930364608764,0.9315068493150684,73.0,3,5
SKG_QA_12,2013,0.936293125152588,0.8,135.0,20,27
SKG_QA_20,2013,0.9466838836669922,0.8734177215189873,79.0,228,48
SKG_PAR_204,2013,0.9374802708625792,0.8409090909090909,88.0,24,17
SKG_MT_1461,2013,0.9305720329284668,1.0,4.0,41,12
SKG_QA_424,2013,0.9254592657089232,0.825,80.0,78,29
SKG_QA_385,2013,0.9438023567199708,0.8282828282828283,99.0,7,19
SKG_MT_14,2013,0.9417967796325684,0.8507462686567164,67.0,11,19
SKG_MT_21,2013,0.9398703575134276,0.8442211055276382,199.0,56,44
SKG_MT_500,2013,0.9409160614013672,0.7647058823529411,51.0,26,34
SKG_MT_829,2013,0.9305315017700196,0.8205128205128205,39.0,5,15
SKG_MT_845,2013,0.9277523159980774,0.8558558558558559,111.0,9,23
SKG_MT_515,2013,0.9217126965522766,0.864516129032258,155.0,106,30
SKG_SA_318,2013,0.9123672246932985,0.8,85.0,40,19
SKG_SA_296,2013,0.9320505857467652,0.8985507246376812,69.0,241,51
SKG_SA_306,2013,0.9141212701797484,0.8709677419354839,93.0,189,61
SKG_MT_94,2013,0.929268479347229,0.92,50.0,9,34
SKG_MT_100,2013,0.9456760287284852,0.8571428571428571,56.0,112,24
SKG_QA_193,2013,0.9055940508842468,0.9230769230769232,13.0,13,9
SKG_MT_305,2013,0.9461267590522766,0.7611940298507462,67.0,36,39
SKG_MT_314,2013,0.9167054295539856,0.8607594936708861,79.0,8,28
SKG_MT_1036,2013,0.9350093007087708,0.9041095890410958,73.0,540,42
SKG_QA_334,2013,0.9224438667297364,0.875,64.0,35,30
SKG_MT_332,2013,0.912606418132782,0.8409090909090909,44.0,17,20
SKG_MT_337,2013,0.948414146900177,0.7906976744186046,129.0,18,33
SKG_MT_1048,2013,0.9316378831863404,0.9029850746268656,134.0,20,19
SKG_MT_1324,2013,0.9376409649848938,0.8588235294117647,85.0,17,20
SKG_MT_1326,2013,0.93936288356781,0.8397790055248618,181.0,15,14
SKG_MT_1244,2013,0.9446196556091307,0.8309859154929577,71.0,4,19
SKG_MT_1248,2013,0.9440895318984984,0.8125,112.0,22,31
SKG_SA_557,2013,0.9221968650817872,0.7213114754098361,61.0,11,10
SKG_SA_577,2013,0.9226577877998352,0.6666666666666666,33.0,5,17
SKG_PAR_52,2013,0.8886574506759644,0.7142857142857143,35.0,25,22
SKG_PAR_53,2013,0.9233492016792296,0.8588235294117647,85.0,6,12
SKG_PAR_56,2013,0.938604176044464,0.8431372549019608,51.0,4,34
SKG_MT_1169,2013,0.9417898058891296,0.7972972972972973,74.0,60,37
SKG_MT_824,2013,0.9299627542495728,0.8918918918918919,37.0,15,38
SKG_MT_91,2013,0.9159461855888368,0.8452380952380952,84.0,6,17
SKG_MT_1429,2013,0.9204025268554688,0.7857142857142857,126.0,37,33
SKG_MT_1437,2013,0.9291980862617492,0.8333333333333334,12.0,8,17
SKG_MT_641,2013,0.916692078113556,0.8636363636363636,22.0,7,28
SKG_MT_572,2013,0.9355510473251344,0.8478260869565217,46.0,10,32
SKG_MT_178,2013,0.938336193561554,0.7419354838709677,62.0,22,23
SKG_MT_180,2013,0.9353537559509276,0.8050314465408805,159.0,42,28
SKG_MT_150,2013,0.942090630531311,0.8165137614678899,109.0,45,29
SKG_MT_200,2013,0.9428278207778932,0.864516129032258,155.0,67,32
SKG_SA_469,2013,0.9288667440414428,0.9375,16.0,5,12
SKG_SA_484,2013,0.9350420236587524,0.8421052631578947,38.0,37,20
SKG_MT_681,2013,0.9389041662216188,0.8102189781021898,137.0,7,38
SKG_SUM_193,2013,0.9402365684509276,0.780952380952381,105.0,91,27
SKG_MT_680,2014,0.9334611892700196,0.8727272727272727,55.0,5,29
SKG_MT_676,2014,0.9405230283737184,0.6666666666666666,12.0,0,16
SKG_SUM_43,2014,0.9290918111801147,0.8544303797468354,158.0,52,30
SKG_SUM_40,2014,0.9275614023208618,0.775,40.0,67,23
SKG_SA_618,2014,0.929922103881836,0.782608695652174,23.0,2,9
SKG_MT_710,2014,0.946172833442688,0.8108108108108109,74.0,15,16
SKG_SA_449,2014,0.9378944635391236,0.8601398601398601,143.0,2,13
SKG_SA_460,2014,0.910736083984375,0.8,15.0,615,23
SKG_MT_1441,2014,0.9110279083251952,0.9615384615384616,26.0,44,8
SKG_MT_317,2014,0.9295294880867004,0.861244019138756,209.0,15,35
SKG_MT_319,2014,0.9536226987838744,0.7321428571428571,56.0,1,28
SKG_MT_1046,2014,0.938675582408905,0.6415094339622641,106.0,12,30
SKG_MT_1053,2014,0.937857449054718,0.8333333333333334,54.0,85,17
SKG_MT_331,2014,0.9469666481018066,0.7419354838709677,62.0,27,27
SKG_MT_1030,2014,0.939444899559021,0.6666666666666666,60.0,8,29
SKG_MT_359,2014,0.9293974041938782,0.8461538461538461,52.0,4,12
SKG_PAR_185,2014,0.9371232986450196,0.8461538461538461,91.0,423,21
SKG_PAR_212,2014,0.916824460029602,0.847457627118644,59.0,44,25
SKG_MT_1403,2014,0.9398484230041504,0.8300970873786407,206.0,5,19
SKG_MT_1367,2014,0.93072909116745,0.8080808080808081,99.0,63,28
SKG_MT_1474,2014,0.9439814686775208,0.8015873015873016,126.0,119,52
SKG_QA_404,2014,0.937123477458954,0.8461538461538461,91.0,423,21
SKG_MT_1009,2014,0.9456995129585266,0.8571428571428571,70.0,73,29
SKG_SA_530,2014,0.9416948556900024,0.7887323943661971,71.0,91,14
SKG_MT_586,2014,0.9503925442695618,0.8324607329842932,191.0,6,19
SKG_MT_590,2014,0.93703955411911,0.76,100.0,10,49
SKG_MT_598,2014,0.9372190237045288,0.8557692307692307,104.0,1,32
SKG_MT_394,2014,0.944144070148468,0.7627118644067796,59.0,9,24
SKG_MT_1316,2014,0.8914405703544617,0.8380952380952381,105.0,28,30
SKG_MT_169,2014,0.9430434107780457,0.8709677419354839,62.0,133,25
SKG_MT_1206,2014,0.9268969297409058,0.8,10.0,24,12
SKG_MT_1213,2014,0.9386996030807496,0.8148148148148148,81.0,36,30
SKG_PAR_113,2014,0.9312898516654968,0.6470588235294118,17.0,11,13
SKG_MT_1060,2014,0.9512873888015748,0.8076923076923077,26.0,34,21
SKG_DIA_298,2014,0.9080461263656616,0.8928571428571429,28.0,32,44
SKG_MT_913,2014,0.9355528950691224,0.8260869565217391,115.0,39,20
SKG_MT_931,2014,0.9423792958259584,0.8526315789473684,95.0,89,37
SKG_SA_36,2014,0.9274041056632996,0.8429319371727748,191.0,1167,59
SKG_SA_52,2014,0.9252495765686036,0.7338709677419355,124.0,125,13
SKG_DIA_211,2014,0.9329360723495485,0.8452380952380952,84.0,56,40
SKG_SA_224,2014,0.9324682950973512,0.7777777777777778,27.0,6,12
SKG_MT_1252,2014,0.9239599108695984,0.7272727272727273,22.0,39,21
SKG_MT_1253,2014,0.9411293268203736,0.8333333333333334,48.0,123,34
SKG_MT_1347,2014,0.9019412994384766,0.8289473684210527,228.0,489,29
SKG_SA_118,2014,0.9273529052734376,0.7674418604651163,43.0,79,25
SKG_MT_1120,2014,0.937385082244873,0.8235294117647058,153.0,6,30
SKG_MT_1127,2014,0.9196585416793824,0.9090909090909092,11.0,66,15
SKG_MT_252,2014,0.8539897799491882,0.8055555555555556,72.0,18,63
SKG_MT_265,2014,0.9398187398910522,0.78125,96.0,24,45
SKG_MT_266,2014,0.9554924964904784,0.7547169811320755,106.0,25,35
SKG_MT_1096,2014,0.9329248666763306,0.826530612244898,98.0,19,38
SKG_SA_246,2014,0.9410964846611024,0.8494623655913979,93.0,30,24
SKG_MT_476,2014,0.9338464736938475,0.826530612244898,98.0,5,13
SKG_MT_487,2014,0.9365399479866028,0.7692307692307693,26.0,56,12
SKG_MT_868,2014,0.9369674921035768,0.9056603773584906,159.0,162,23
SKG_SA_260,2014,0.9204609990119934,0.8017241379310345,116.0,703,21
SKG_MT_836,2014,0.943532943725586,0.8243243243243243,74.0,9,14
SKG_MT_840,2014,0.9390093684196472,0.7857142857142857,42.0,21,31
SKG_MT_530,2014,0.930432677268982,1.0,4.0,3,13
SKG_SA_278,2014,0.9367548823356628,0.6470588235294118,17.0,9,22
SKG_MT_790,2014,0.9217413663864136,0.8235294117647058,102.0,11,40
SKG_SA_339,2014,0.9240304827690125,0.8888888888888888,45.0,4,16
SKG_SA_283,2014,0.9274041056632996,0.9069767441860463,43.0,1167,59
SKG_SA_307,2014,0.9152555465698242,0.827027027027027,185.0,1073,23
SKG_MT_97,2014,0.9407860040664672,0.6,10.0,35,17
SKG_MT_116,2014,0.9393317103385924,0.7723577235772358,123.0,6,20
