global_paper_id,title
NOVEL_DIA_45,Neural Path Hunter Reducing Hallucination in Dialogue Systems via Path Grounding
NOVEL_DIA_47,Spoken Language Understanding for Task-oriented Dialogue Systems with Augmented Memory Networks
NOVEL_DIA_49,Efficient Dialogue Complementary Policy Learning via Deep Q-network Policy and Episodic Memory Policy
NOVEL_DIA_50,Contextualize Knowledge Bases with Transformer for End-to-end Task-Oriented Dialogue Systems
NOVEL_DIA_51,Adding Chit-Chat to Enhance Task-Oriented Dialogues
NOVEL_DIA_52,GOLD Improving Out-of-Scope Detection in Dialogues using Data Augmentation
NOVEL_DIA_53,More is Better Enhancing Open-Domain Dialogue Generation via Multi-Source Heterogeneous Knowledge
NOVEL_DIA_54,Knowledge-Aware Graph-Enhanced GPT-2 for Dialogue State Tracking
NOVEL_DIA_55,Contextual Rephrase Detection for Reducing Friction in Dialogue Systems
NOVEL_DIA_56,MediaSum A Large-scale Media Interview Dataset for Dialogue Summarization
NOVEL_DIA_59,Leveraging Slot Descriptions for Zero-Shot Cross-Domain Dialogue StateTracking
NOVEL_DIA_63,Knowledge Enhanced Fine-Tuning for Better Handling Unseen Entities in Dialogue Generation
NOVEL_DIA_65,Domain-Lifelong Learning for Dialogue State Tracking via Knowledge Preservation Networks
NOVEL_DIA_66,CREAD Combined Resolution of Ellipses and Anaphora in Dialogues
NOVEL_DIA_67,Multi-Modal Open-Domain Dialogue
NOVEL_DIA_68,DialogueCSE Dialogue-based Contrastive Learning of Sentence Embeddings
NOVEL_DIA_69,Generation and Extraction Combined Dialogue State Tracking with Hierarchical Ontology Integration
NOVEL_DIA_70,NDH-Full Learning and Evaluating Navigational Agents on Full-Length Dialogue
NOVEL_DIA_71,Intention Reasoning Network for Multi-Domain End-to-end Task-Oriented Dialogue
SKG_DIA_0,Are Training Samples Correlated Learning to Generate Dialogue Responses with Multiple References
SKG_DIA_2,doc2dial A Goal-Oriented Document-Grounded Dialogue Dataset
SKG_DIA_3,Learning to Customize Model Structures for Few-shot Dialogue Generation Tasks
SKG_DIA_4,Memory Consolidation for Contextual Spoken Language Understanding with Dialogue Logistic Inference
SKG_DIA_6,Toward Dialogue Modeling A Semantic Annotation Scheme for Questions and Answers
SKG_DIA_7,AirConcierge Generating Task-Oriented Dialogue via Efficient Large-Scale Knowledge Retrieval
SKG_DIA_8,Training Neural Response Selection for Task-Oriented Dialogue Systems
SKG_DIA_9,Auto-Dialabel Labeling Dialogue Data with Unsupervised Learning
SKG_DIA_10,Multi-View Sequence-to-Sequence Models with Conversational Structure for Abstractive Dialogue Summarization
SKG_DIA_11,Multi-Turn Dialogue Generation in E-Commerce Platform with the Context of Historical Dialogue
SKG_DIA_12,A Compare Aggregate Transformer for Understanding Document-grounded Dialogue
SKG_DIA_13,Dr. Summarize Global Summarization of Medical Dialogue by Exploiting Local Structures.
SKG_DIA_14,Spot The Bot A Robust and Efficient Framework for the Evaluation of Conversational Dialogue Systems
SKG_DIA_15,On-line Active Reward Learning for Policy Optimisation in Spoken Dialogue Systems
SKG_DIA_16,Learning Efficient Dialogue Policy from Demonstrations through Shaping
SKG_DIA_17,Counterfactual Off-Policy Training for Neural Dialogue Generation
SKG_DIA_18,You Impress Me Dialogue Generation via Mutual Persona Perception
SKG_DIA_21,Deep Active Learning for Dialogue Generation
SKG_DIA_22,Semi-Supervised Dialogue Policy Learning via Stochastic Reward Estimation
SKG_DIA_23,Evaluating and Enhancing the Robustness of Dialogue Systems A Case Study on a Negotiation Agent
SKG_DIA_24,PyDial A Multi-domain Statistical Dialogue System Toolkit
SKG_DIA_25,A Hierarchical Neural Model for Learning Sequences of Dialogue Acts
SKG_DIA_27,Dialogue Natural Language Inference
SKG_DIA_29,Will I Sound Like Me Improving Persona Consistency in Dialogues through Pragmatic Self-Consciousness
SKG_DIA_30,Entity-Consistent End-to-end Task-Oriented Dialogue System with KB Retriever
SKG_DIA_31,Evaluating Persuasion Strategies and Deep Reinforcement Learning methods for Negotiation Dialogue agents
SKG_DIA_32,Using Paraphrasing and Memory-Augmented Models to Combat Data Sparsity in Question Interpretation with a Virtual Patient Dialogue System
SKG_DIA_34,Global-Locally Self-Attentive Encoder for Dialogue State Tracking
SKG_DIA_35,Dialogue Generation on Infrequent Sentence Functions via Structured Meta-Learning
SKG_DIA_36,DyKgChat Benchmarking Dialogue Generation Grounding on Dynamic Knowledge Graphs
SKG_DIA_39,Data Manipulation Towards Effective Instance Learning for Neural Dialogue Generation via Learning to Augment and Reweight
SKG_DIA_40,Wikification of Concept Mentions within Spoken Dialogues Using Domain Constraints from Wikipedia
SKG_DIA_41,The World is Not Binary Learning to Rank with Grayscale Data for Dialogue Response Selection
SKG_DIA_42,Designing Precise and Robust Dialogue Response Evaluators
SKG_DIA_44,Dialogue-Act Prediction of Future Responses Based on Conversation History
SKG_DIA_45,A Contextual Hierarchical Attention Network with Adaptive Objective for Dialogue State Tracking
SKG_DIA_46,Spectral Analysis of Information Density in Dialogue Predicts Collaborative Task Performance
SKG_DIA_47,Understanding Linguistic Accommodation in Code-Switched Human-Machine Dialogues
SKG_DIA_49,Learning an Unreferenced Metric for Online Dialogue Evaluation
SKG_DIA_50,What do Entity-Centric Models Learn Insights from Entity Linking in Multi-Party Dialogue
SKG_DIA_51,Modeling Multi-Action Policy for Task-Oriented Dialogues
SKG_DIA_53,MedDialog Large-scale Medical Dialogue Datasets
SKG_DIA_54,How Time Matters Learning Time-Decay Attention for Contextual Spoken Language Understanding in Dialogues
SKG_DIA_55,A Visually-grounded First-person Dialogue Dataset with Verbal and Non-verbal Responses
SKG_DIA_57,On-line Dialogue Policy Learning with Companion Teaching
SKG_DIA_58,Dialogue Learning with Human Teaching and Feedback in End-to-End Trainable Task-Oriented Dialogue Systems
SKG_DIA_60,Guided Dialogue Policy Learning without Adversarial Learning in the Loop
SKG_DIA_61,Meta-Reinforced Multi-Domain State Generator for Dialogue Systems
SKG_DIA_62,Observing Dialogue in Therapy Categorizing and Forecasting Behavioral Codes
SKG_DIA_64,“I Object!” Modeling Latent Pragmatic Effects in Courtroom Dialogues
SKG_DIA_65,Pretrained Language Models for Dialogue Generation with Multiple Input Sources
SKG_DIA_66,ReCoSa Detecting the Relevant Contexts with Self-Attention for Multi-turn Dialogue Generation
SKG_DIA_68,Modeling Dialogue Acts with Content Word Filtering and Speaker Preferences
SKG_DIA_69,Modeling Long Context for Task-Oriented Dialogue State Generation
SKG_DIA_70,Dialogue Coherence Assessment Without Explicit Dialogue Act Labels
SKG_DIA_72,GRADE Automatic Graph-Enhanced Coherence Metric for Evaluating Open-Domain Dialogue Systems
SKG_DIA_73,PLATO Pre-trained Dialogue Generation Model with Discrete Latent Variable
SKG_DIA_75,AttnIO Knowledge Graph Exploration with In-and-Out Attention Flow for Knowledge-Grounded Dialogue
SKG_DIA_76,Improving Open-Domain Dialogue Systems via Multi-Turn Incomplete Utterance Restoration
SKG_DIA_77,Discriminative Deep Dyna-Q Robust Planning for Dialogue Policy Learning
SKG_DIA_78,Joint Modeling of Content and Discourse Relations in Dialogues
SKG_DIA_84,"Hello, It’s GPT-2 - How Can I Help You Towards the Use of Pretrained Language Models for Task-Oriented Dialogue Systems"
SKG_DIA_86,Hidden Softmax Sequence Model for Dialogue Structure Analysis
SKG_DIA_87,Natural Language Generation for Spoken Dialogue System using RNN Encoder-Decoder Networks
SKG_DIA_88,"ConvLab-2 An Open-Source Toolkit for Building, Evaluating, and Diagnosing Dialogue Systems"
SKG_DIA_89,Dual Latent Variable Model for Low-Resource Natural Language Generation in Dialogue Systems
SKG_DIA_90,Constrained Decoding for Neural NLG from Compositional Representations in Task-Oriented Dialogue
SKG_DIA_96,A Practical Dialogue-Act-Driven Conversation Model for Multi-Turn Response Selection
SKG_DIA_97,Semantic Role Labeling Guided Multi-turn Dialogue ReWriter
SKG_DIA_98,GraphDialog Integrating Graph Knowledge into End-to-End Task-Oriented Dialogue Systems
SKG_DIA_99,Parallel Interactive Networks for Multi-Domain Dialogue State Generation
SKG_DIA_101,Template Guided Text Generation for Task-Oriented Dialogue
SKG_DIA_102,TOD-BERT Pre-trained Natural Language Understanding for Task-Oriented Dialogue
SKG_DIA_103,Diverse and Informative Dialogue Generation with Context-Specific Commonsense Knowledge Awareness
SKG_DIA_104,Importance-Driven Turn-Bidding for Spoken Dialogue Systems
SKG_DIA_105,GCDST A Graph-based and Copy-augmented Multi-domain Dialogue State Tracking
SKG_DIA_106,Representing Movie Characters in Dialogues
SKG_DIA_107,Probing Task-Oriented Dialogue Representation from Language Models
SKG_DIA_108,Composite Task-Completion Dialogue Policy Learning via Hierarchical Deep Reinforcement Learning
SKG_DIA_109,Sequence-to-Sequence Generation for Spoken Dialogue via Deep Syntax Trees and Strings
SKG_DIA_111,Implicit Discourse Relation Identification for Open-domain Dialogues
SKG_DIA_112,Task-Completion Dialogue Policy Learning via Monte Carlo Tree Search with Dueling Network
SKG_DIA_113,DialogueGCN A Graph Convolutional Neural Network for Emotion Recognition in Conversation
SKG_DIA_115,Group-wise Contrastive Learning for Neural Dialogue Generation
SKG_DIA_116,Multi-turn Response Selection using Dialogue Dependency Relations
SKG_DIA_119,Actor-Double-Critic Incorporating Model-Based Critic for Task-Oriented Dialogue Systems
SKG_DIA_120,Knowledge Diffusion for Neural Dialogue Generation
SKG_DIA_123,Goal-Embedded Dual Hierarchical Model for Task-Oriented Dialogue Generation
SKG_DIA_124,UniConv A Unified Conversational Neural Architecture for Multi-domain Task-oriented Dialogues
SKG_DIA_126,KdConv A Chinese Multi-domain Dialogue Dataset Towards Multi-turn Knowledge-driven Conversation
SKG_DIA_127,Improving Response Selection in Multi-Turn Dialogue Systems by Incorporating Domain Knowledge
SKG_DIA_128,"Personalizing Dialogue Agents I have a dog, do you have pets too"
SKG_DIA_129,Dirichlet Latent Variable Hierarchical Recurrent Encoder-Decoder in Dialogue Generation
SKG_DIA_137,Decoupling Strategy and Generation in Negotiation Dialogues
SKG_DIA_139,Personalizing Dialogue Agents via Meta-Learning
SKG_DIA_141,An Auto-Encoder Matching Model for Learning Utterance-Level Semantic Dependency in Dialogue Generation
SKG_DIA_143,Queens are Powerful too Mitigating Gender Bias in Dialogue Generation
SKG_DIA_144,Neural Dialogue State Tracking with Temporally Expressive Networks
SKG_DIA_145,Knowledge-Grounded Dialogue Generation with Pre-trained Language Models
SKG_DIA_146,Affordable On-line Dialogue Policy Learning
SKG_DIA_147,A Semi-Supervised Stable Variational Network for Promoting Replier-Consistency in Dialogue Generation
SKG_DIA_149,Learning a Matching Model with Co-teaching for Multi-turn Response Selection in Retrieval-based Dialogue Systems
SKG_DIA_150,Skeleton-to-Response Dialogue Generation Guided by Retrieval Memory
SKG_DIA_151,Towards Low-Resource Semi-Supervised Dialogue Generation with Meta-Learning
SKG_DIA_153,Conditional Generation and Snapshot Learning in Neural Dialogue Systems
SKG_DIA_154,Multi-Domain Dialogue Acts and Response Co-Generation
SKG_DIA_155,Toward Stance-based Personas for Opinionated Dialogues
SKG_DIA_156,Task-oriented Dialogue System for Automatic Diagnosis
SKG_DIA_158,Harnessing Sequence Labeling for Sarcasm Detection in Dialogue from TV Series ‘Friends’
SKG_DIA_159,Structured Attention for Unsupervised Dialogue Structure Induction
SKG_DIA_160,Game-Based Video-Context Dialogue
SKG_DIA_162,Deal or No Deal End-to-End Learning of Negotiation Dialogues
SKG_DIA_164,Retrieval-guided Dialogue Response Generation via a Matching-to-Generation Framework
SKG_DIA_165,Mitigating Gender Bias for Neural Dialogue Generation with Adversarial Learning
SKG_DIA_166,Sequicity Simplifying Task-oriented Dialogue Systems with Single Sequence-to-Sequence Architectures
SKG_DIA_167,Preserving Distributional Information in Dialogue Act Classification
SKG_DIA_168,Ordinal and Attribute Aware Response Generation in a Multimodal Dialogue System
SKG_DIA_169,MuTual A Dataset for Multi-Turn Dialogue Reasoning
SKG_DIA_173,Feudal Reinforcement Learning for Dialogue Management in Large Domains
SKG_DIA_177,BiST Bi-directional Spatio-Temporal Reasoning for Video-Grounded Dialogues
SKG_DIA_178,Using Customer Service Dialogues for Satisfaction Analysis with Context-Assisted Multiple Instance Learning
SKG_DIA_179,Subgoal Discovery for Hierarchical Dialogue Policy Learning
SKG_DIA_180,Approximation of Response Knowledge Retrieval in Knowledge-grounded Dialogue Generation
SKG_DIA_182,Optimising Incremental Dialogue Decisions Using Information Density for Interactive Systems
SKG_DIA_185,Slot Attention with Value Normalization for Multi-Domain Dialogue State Tracking
SKG_DIA_186,Efficient Dialogue State Tracking by Selectively Overwriting Memory
SKG_DIA_187,Amalgamating Knowledge from Two Teachers for Task-oriented Dialogue System with Adversarial Training
SKG_DIA_188,Automatically Learning Data Augmentation Policies for Dialogue Tasks
SKG_DIA_191,SAS Dialogue State Tracking via Slot Attention and Slot Information Sharing
SKG_DIA_193,A Dual-Attention Hierarchical Recurrent Neural Network for Dialogue Act Classification
SKG_DIA_196,Enhancing Dialogue Symptom Diagnosis with Global Attention and Symptom Graph
SKG_DIA_197,CIMA A Large Open Access Dialogue Dataset for Tutoring
SKG_DIA_200,LIDA Lightweight Interactive Dialogue Annotator
SKG_DIA_202,Dialogue Act Classification with Context-Aware Self-Attention
SKG_DIA_203,Linguistically-Informed Specificity and Semantic Plausibility for Dialogue Generation
SKG_DIA_204,Real-Time Speech Emotion and Sentiment Recognition for Interactive Dialogue Systems
SKG_DIA_206,MIE A Medical Information Extractor towards Medical Dialogues
SKG_DIA_209,Learning to Adapt to Unknown Users Referring Expression Generation in Spoken Dialogue Systems
SKG_DIA_210,Fusing Eye Gaze with Speech Recognition Hypotheses to Resolve Exophoric References in Situated Dialogue
SKG_DIA_211,Discovering Latent Structure in Task-Oriented Dialogues
SKG_DIA_213,An Affect-Enriched Dialogue Act Classification Model for Task-Oriented Dialogue
SKG_DIA_214,Rethinking Supervised Learning and Reinforcement Learning in Task-Oriented Dialogue Systems
SKG_DIA_216,Adversarial Learning for Neural Dialogue Generation
SKG_DIA_218,Dialogue State Tracking with Explicit Slot Connection Modeling
SKG_DIA_219,Conversational Memory Network for Emotion Recognition in Dyadic Dialogue Videos
SKG_DIA_220,Using Paraphrases and Lexical Semantics to Improve the Accuracy and the Robustness of Supervised Models in Situated Dialogue Systems
SKG_DIA_222,DialSQL Dialogue Based Structured Query Generation
SKG_DIA_225,Zero-shot Cross-lingual Dialogue Systems with Transferable Latent Variables
SKG_DIA_226,"Generate, Delete and Rewrite A Three-Stage Framework for Improving Persona Consistency of Dialogue Generation"
SKG_DIA_227,GECOR An End-to-End Generative Ellipsis and Co-reference Resolution Model for Task-Oriented Dialogue
SKG_DIA_228,Robust Coreference Resolution and Entity Linking on Dialogues Character Identification on TV Show Transcripts
SKG_DIA_230,Learning Knowledge Bases with Parameters for Task-Oriented Dialogue Systems
SKG_DIA_231,IRIS a Chat-oriented Dialogue System based on the Vector Space Model
SKG_DIA_232,Improving Knowledge-Aware Dialogue Response Generation by Using Human-Written Prototype Dialogues
SKG_DIA_233,Data-oriented Monologue-to-Dialogue Generation
SKG_DIA_234,Budgeted Policy Learning for Task-Oriented Dialogue Systems
SKG_DIA_235,A Generative Attentional Neural Network Model for Dialogue Act Classification
SKG_DIA_236,Towards Holistic and Automatic Evaluation of Open-Domain Dialogue Generation
SKG_DIA_237,Generating Dialogue Responses from a Semantic Latent Space
SKG_DIA_238,Automatic Dialogue Generation with Expressed Emotions
SKG_DIA_243,NEXUS Network Connecting the Preceding and the Following in Dialogue Generation
SKG_DIA_244,Zero-Shot Transfer Learning with Synthesized Data for Multi-Domain Dialogue State Tracking
SKG_DIA_245,OpenDial A Toolkit for Developing Spoken Dialogue Systems with Probabilistic Rules
SKG_DIA_247,What You See is What You Get Visual Pronoun Coreference Resolution in Dialogues
SKG_DIA_248,Transformers to Learn Hierarchical Contexts in Multiparty Dialogue for Span-based Question Answering
SKG_DIA_249,Predicting and Eliciting Addressee’s Emotion in Online Dialogue
SKG_DIA_251,Neural Belief Tracker Data-Driven Dialogue State Tracking
SKG_DIA_253,Multimodal Menu-based Dialogue with Speech Cursor in DICO II+
SKG_DIA_254,Profile Consistency Identification for Open-domain Dialogue Agents
SKG_DIA_256,Latent Variable Dialogue Models and their Diversity
SKG_DIA_257,Multi-task Learning for Natural Language Generation in Task-Oriented Dialogue
SKG_DIA_259,Deep Dyna-Q Integrating Planning for Task-Completion Dialogue Policy Learning
SKG_DIA_260,The Teams Corpus and Entrainment in Multi-Party Spoken Dialogues
SKG_DIA_261,Multimodal Transformer Networks for End-to-End Video-Grounded Dialogue Systems
SKG_DIA_262,Dialogue over Context and Structured Knowledge using a Neural Network Model with External Memories
SKG_DIA_263,Dialogue Response Ranking Training with Large-Scale Human Feedback Data
SKG_DIA_264,Regularizing Dialogue Generation by Imitating Implicit Scenarios
SKG_DIA_265,Video-Grounded Dialogues with Pretrained Generation Language Models
SKG_DIA_266,Transferable Multi-Domain State Generator for Task-Oriented Dialogue Systems
SKG_DIA_267,Multi-domain Neural Network Language Generation for Spoken Dialogue Systems
SKG_DIA_268,Recommendation as a Communication Game Self-Supervised Bot-Play for Goal-oriented Dialogue
SKG_DIA_270,Learning Goal-oriented Dialogue Policy with opposite Agent Awareness
SKG_DIA_271,Improving Dialogue State Tracking by Discerning the Relevant Context
SKG_DIA_273,Towards Emotion-aided Multi-modal Dialogue Act Classification
SKG_DIA_275,Dialogue focus tracking for zero pronoun resolution
SKG_DIA_276,Scalable and Accurate Dialogue State Tracking via Hierarchical Sequence Generation
SKG_DIA_277,Sampling Matters! An Empirical Study of Negative Sampling Strategies for Learning of Matching Models in Retrieval-based Dialogue Systems
SKG_DIA_279,Adaptive Parameterization for Neural Dialogue Generation
SKG_DIA_280,Adversarial Over-Sensitivity and Over-Stability Strategies for Dialogue Models
SKG_DIA_282,Reading Turn by Turn Hierarchical Attention Architecture for Spoken Dialogue Comprehension
SKG_DIA_283,MinTL Minimalist Transfer Learning for Task-Oriented Dialogue Systems
SKG_DIA_284,One Time of Interaction May Not Be Enough Go Deep with an Interaction-over-Interaction Network for Response Selection in Dialogues
SKG_DIA_285,An End-to-end Approach for Handling Unknown Slot Values in Dialogue State Tracking
SKG_DIA_286,Learning to Plan and Realize Separately for Open-Ended Dialogue Systems
SKG_DIA_287,DeepPavlov Open-Source Library for Dialogue Systems
SKG_DIA_288,Learning the Information Status of Noun Phrases in Spoken Dialogues
SKG_DIA_289,Dialogue Distillation Open-Domain Dialogue Augmentation Using Unpaired Data
SKG_DIA_293,FERNet Fine-grained Extraction and Reasoning Network for Emotion Recognition in Dialogues
SKG_DIA_297,MultiDM-GCN Aspect-guided Response Generation in Multi-domain Multi-modal Dialogue System using Graph Convolutional Network
SKG_DIA_298,Single-Agent vs. Multi-Agent Techniques for Concurrent Reinforcement Learning of Negotiation Dialogue Policies
SKG_DIA_300,Semantically Conditioned LSTM-based Natural Language Generation for Spoken Dialogue Systems
SKG_DIA_302,Chatbot with a Discourse Structure-Driven Dialogue Management
SKG_DIA_303,Agent-Aware Dropout DQN for Safe and Efficient On-line Dialogue Policy Learning
SKG_DIA_304,Conversation Model Fine-Tuning for Classifying Client Utterances in Counseling Dialogues
SKG_DIA_305,Generalizable and Explainable Dialogue Generation via Explicit Action Learning
SKG_DIA_306,Towards End-to-End Reinforcement Learning of Dialogue Agents for Information Access
SKG_DIA_307,Towards an Automatic Turing Test Learning to Evaluate Dialogue Responses
SKG_DIA_308,Self-Supervised Dialogue Learning
SKG_DIA_309,Don’t Say That! Making Inconsistent Dialogue Unlikely with Unlikelihood Training
SKG_DIA_310,Deep Reinforcement Learning for Dialogue Generation
SKG_DIA_311,Efficient Context and Schema Fusion Networks for Multi-Domain Dialogue State Tracking
SKG_DIA_313,PolyResponse A Rank-based Approach to Task-Oriented Dialogue with Application in Restaurant Search and Booking
SKG_DIA_314,Slot-consistent NLG for Task-oriented Dialogue Systems with Iterative Rectification Network
SKG_DIA_315,Improving Limited Labeled Dialogue State Tracking with Self-Supervision
SKG_DIA_316,ScoutBot A Dialogue System for Collaborative Navigation
SKG_DIA_317,Bridging the Gap between Prior and Posterior Knowledge Selection for Knowledge-Grounded Dialogue Generation
SKG_DIA_318,Evaluating Coherence in Dialogue Systems using Entailment
SKG_DIA_1,Training Millions of Personalized Dialogue Agents
NOVEL_MT_0,Investigating Softmax Tempering for Training Neural Machine Translation Models
NOVEL_MT_2,Towards Making the Most of Dialogue Characteristics for Neural Chat Translation
NOVEL_MT_3,HW-TSC’s Submissions to the WMT21 Biomedical Translation Task
NOVEL_MT_4,Product Review Translation using Phrase Replacement and Attention Guided Noise Augmentation
NOVEL_MT_5,Towards Modeling the Style of Translators in Neural Machine Translation
NOVEL_MT_9,Self-Training for Unsupervised Neural Machine Translation in Unbalanced Training Data Scenarios
NOVEL_MT_10,Distributionally Robust Multilingual Machine Translation
NOVEL_MT_11,Do Context-Aware Translation Models Pay the Right Attention
NOVEL_MT_12,HW-TSC’s Participation in the WMT 2021 Triangular MT Shared Task
NOVEL_MT_15,Vocabulary Learning via Optimal Transport for Neural Machine Translation
NOVEL_MT_16,SentSim Crosslingual Semantic Evaluation of Machine Translation
NOVEL_MT_17,Investigating Active Learning in Interactive Neural Machine Translation
NOVEL_MT_19,CUNI systems for WMT21 Multilingual Low-Resource Translation for Indo-European Languages Shared Task
NOVEL_MT_21,Cascade versus Direct Speech Translation Do the Differences Still Make a Difference
NOVEL_MT_22,TUDa at WMT21 Sentence-Level Direct Assessment with Adapters
NOVEL_MT_23,The NiuTrans Machine Translation Systems for WMT21
NOVEL_MT_24,Improving Speech Translation by Understanding and Learning from the Auxiliary Text Translation Task
NOVEL_MT_25,Learning to Rewrite for Non-Autoregressive Neural Machine Translation
NOVEL_MT_26,Multilingual Machine Translation Systems from Microsoft for WMT21 Shared Task
NOVEL_MT_29,Modeling Target-side Inflection in Placeholder Translation
NOVEL_MT_30,The IICT-Yverdon System for the WMT 2021 Unsupervised MT and Very Low Resource Supervised MT Task
NOVEL_MT_31,WeChat Neural Machine Translation Systems for WMT21
NOVEL_MT_33,HW-TSC’s Participation at WMT 2021 Quality Estimation Shared Task
NOVEL_MT_34,Direct Exploitation of Attention Weights for Translation Quality Estimation
NOVEL_MT_35,Dynamic Terminology Integration for COVID-19 and Other Emerging Domains
NOVEL_MT_36,Findings of the WMT 2021 Shared Task on Large-Scale Multilingual Machine Translation
NOVEL_MT_37,Modeling Bilingual Conversational Characteristics for Neural Chat Translation
NOVEL_MT_39,Pruning-then-Expanding Model for Domain Adaptation of Neural Machine Translation
NOVEL_MT_40,Smart-Start Decoding for Neural Machine Translation
NOVEL_MT_42,Robust Open-Vocabulary Translation from Visual Text Representations
NOVEL_MT_45,Surprise Language Challenge Developing a Neural Machine Translation System between Pashto and English in Two Months
NOVEL_MT_47,When is Char Better Than Subword A Systematic Study of Segmentation Algorithms for Neural Machine Translation
NOVEL_MT_49,Neural Machine Translation in Low-Resource Setting a Case Study in English-Marathi Pair
NOVEL_MT_51,Active2 Learning Actively reducing redundancies in Active Learning methods for Sequence Tagging and Machine Translation
NOVEL_MT_52,Context-aware Decoder for Neural Machine Translation using a Target-side Document-Level Language Model
NOVEL_MT_53,Data Augmentation with Unsupervised Machine Translation Improves the Structural Similarity of Cross-lingual Word Embeddings
NOVEL_MT_54,Learning Language Specific Sub-network for Multilingual Machine Translation
NOVEL_MT_55,TenTrans Large-Scale Multilingual Machine Translation System for WMT21
NOVEL_MT_58,NoahNMT at WMT 2021 Dual Transfer for Very Low Resource Supervised Machine Translation
NOVEL_MT_59,Kakao Enterprise’s WMT21 Machine Translation Using Terminologies Task Submission
NOVEL_MT_60,RoBLEURT Submission for WMT2021 Metrics Task
NOVEL_MT_61,Machine Translation of Low-Resource Indo-European Languages
NOVEL_MT_62,Uncertainty-Aware Balancing for Multilingual and Multi-Domain Neural Machine Translation Training
NOVEL_MT_63,Breaking the Corpus Bottleneck for Context-Aware Neural Machine Translation with Cross-Task Pre-training
NOVEL_MT_64,GFST Gender-Filtered Self-Training for More Accurate Gender in Translation
NOVEL_MT_66,GWLAN General Word-Level AutocompletioN for Computer-Aided Translation
NOVEL_MT_67,An Alignment-Based Approach to Semi-Supervised Bilingual Lexicon Induction with Small Parallel Corpora
NOVEL_MT_68,Netmarble AI Center’s WMT21 Automatic Post-Editing Shared Task Submission
NOVEL_MT_69,Results of the WMT21 Metrics Shared Task Evaluating Metrics with Expert-based Human Evaluations on TED and News Domain
