topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights,year
QA,W2136893259,44,auto,We,discuss,these two issues,We discuss these two issues,,2023
QA,W2136893259,45,auto,A,further,complication is the,A further complication is the,,2023
QA,W2136893259,46,auto,For,example,", authors have","For example , authors have",,2023
QA,W2136893259,47,auto,In,this,"section , we","In this section , we",,2023
QA,W2136893259,48,auto,First,",",we discuss the,"First , we discuss the",,2023
QA,W2136893259,49,auto,Coding,schemes,Researchers who apply,Coding schemes Researchers who apply,,2023
QA,W2136893259,50,auto,Thereafter,",",a statistical analysis,"Thereafter , a statistical analysis",,2023
QA,W2136893259,51,auto,This,type,of study continues,This type of study continues,,2023
QA,W2136893259,52,auto,It,is,impo,It is impo,,2023
QA,W2136893259,53,auto,rtant,to,remark that a,rtant to remark that a,,2023
QA,W2136893259,54,auto,Researchers,have,to develop or,Researchers have to develop or,,2023
QA,W2136893259,55,auto,In,their,"classic study ,","In their classic study ,",,2023
QA,W2136893259,56,auto,The,coding,schemes mentioned above,The coding schemes mentioned above,,2023
QA,W2136893259,57,auto,In,Table,4 Barni and,In Table 4 Barni and,,2023
QA,W2136893259,58,auto,It,depends,", of course","It depends , of course",,2023
QA,W2136893259,59,auto,The,type,of ( statistical,The type of ( statistical,,2023
QA,W2136893259,60,auto,Descriptive,statistics,are frequently applied,Descriptive statistics are frequently applied,,2023
QA,W2136893259,61,auto,Cases,of,quantitative studies,Cases of quantitative studies,,2023
QA,W2136893259,62,auto,As,stated,in the foregoing,As stated in the foregoing,,2023
QA,W2136893259,63,auto,Many,of,those studies have,Many of those studies have,,2023
QA,W2136893259,64,auto,We,present,some instances of,We present some instances of,,2023
QA,W2136893259,65,auto,In,the,framework of the,In the framework of the,,2023
QA,W2136893259,66,auto,The,study,was part of,The study was part of,,2023
QA,W2136893259,67,auto,With,the,help of a,With the help of a,,2023
QA,W2136893259,68,auto,In,a,similar descriptive study,In a similar descriptive study,,2023
QA,W2136893259,69,auto,In,this,"community , the","In this community , the",,2023
QA,W2136893259,70,auto,The,three,research questions focused,The three research questions focused,,2023
QA,W2136893259,71,auto,The,results,were presented in,The results were presented in,,2023
QA,W2136893259,72,auto,The,publication,included four photographs,The publication included four photographs,,2023
QA,W2136893259,73,auto,Lado's,results,uncover,Lado's results uncover,,2023
QA,W2136893259,74,auto,ed,that,in the Valencian,ed that in the Valencian,,2023
QA,W2136893259,75,auto,More,studies,on Catalan as,More studies on Catalan as,,2023
QA,W2136893259,76,auto,In,another,", similar but","In another , similar but",,2023
QA,W2136893259,77,auto,He,posed,three research questions,He posed three research questions,,2023
QA,W2136893259,78,auto,In,both,"cities , he","In both cities , he",,2023
QA,W2136893259,79,auto,In,each,"district , he","In each district , he",,2023
QA,W2136893259,80,auto,The,sample,in Vilnius was,The sample in Vilnius was,,2023
QA,W2136893259,81,auto,For,the,unit of analysis,For the unit of analysis,,2023
QA,W2136893259,82,auto,Another,example,which can be,Another example which can be,,2023
QA,W2136893259,83,auto,Lai,(,2013 ) investigated,Lai ( 2013 ) investigated,,2023
QA,W2136893259,84,auto,She,collected,a sample of,She collected a sample of,,2023
QA,W2136893259,85,auto,In,each,"district , she","In each district , she",,2023
QA,W2136893259,86,auto,This,is,an explicit aim,This is an explicit aim,,2023
QA,W2136893259,87,auto,They,investigated,the largely Hispanic,They investigated the largely Hispanic,,2023
QA,W2136893259,88,auto,The,two,research questions regarded,The two research questions regarded,,2023
QA,W2136893259,89,auto,In,five,areas of the,In five areas of the,,2023
QA,W2136893259,90,auto,The,signs,were coded for,The signs were coded for,,2023
QA,W2136893259,91,auto,Based,on,Goffman's frame analysis,Based on Goffman's frame analysis,,2023
QA,W2136893259,92,auto,They,performed,statistical analysis through,They performed statistical analysis through,,2023
QA,W2136893259,93,auto,ignificance,of,the location in,ignificance of the location in,,2023
QA,W2136893259,94,auto,In,the,"article , the","In the article , the",,2023
QA,W2136893259,95,auto,Also,included,are two figures,Also included are two figures,,2023
QA,W2136893259,96,auto,The,authors,concluded that ',The authors concluded that ',,2023
QA,W2136893259,97,auto,The,label,is related to,The label is related to,,2023
QA,W2136893259,98,auto,The,main,principle is the,The main principle is the,,2023
QA,W2136893259,99,auto,Soukup,(,2020 ) contains,Soukup ( 2020 ) contains,,2023
QA,W2136893259,100,auto,Advanced,statistical,techniques Lyons' (,Advanced statistical techniques Lyons' (,,2023
QA,W2136893259,101,auto,She,shifted,to inferential statistics,She shifted to inferential statistics,,2023
QA,W2136893259,102,auto,Lyons,adopted,four of the,Lyons adopted four of the,,2023
QA,W2136893259,103,auto,She,added,' locus ',She added ' locus ',,2023
QA,W2136893259,104,auto,Another,addition,was the estimated,Another addition was the estimated,,2023
QA,W2136893259,105,auto,In,the,European research network,In the European research network,,2023
QA,W2136893259,106,auto,As,has,"been mentioned ,","As has been mentioned ,",,2023
QA,W2136893259,107,auto,se,of,maps ) .,se of maps ) .,,2023
QA,W2136893259,108,auto,In,Mājro,"/ Majuro ,","In Mājro / Majuro ,",,2023
QA,W2136893259,109,auto,They,present,the results in,They present the results in,,2023
QA,W2136893259,110,auto,For,the,"variationist part ,","For the variationist part ,",,2023
QA,W2136893259,111,auto,First,",",exploring a model,"First , exploring a model",,2023
QA,W2136893259,112,auto,Similarly,",",Restrepo - Ramos,"Similarly , Restrepo - Ramos",,2023
QA,W2136893259,113,auto,In,this,"way , he","In this way , he",,2023
QA,W2136893259,114,auto,The,outcomes,clearly visualize a,The outcomes clearly visualize a,,2023
QA,W2136893259,115,auto,He,also,included some sophisticated,He also included some sophisticated,,2023
QA,W2136893259,116,auto,The,works,mentioned represent case,The works mentioned represent case,,2023
QA,W2136893259,117,auto,Smartphone,apps,for data collection,Smartphone apps for data collection,,2023
QA,W2136893259,118,auto,This,can,vary from a,This can vary from a,,2023
QA,W2136893259,119,auto,Creating,a,large database of,Creating a large database of,,2023
QA,W2136893259,120,auto,In,this,"way , a","In this way , a",,2023
QA,W2136893259,121,auto,We,can,summarize the two,We can summarize the two,,2023
QA,W2136893259,122,auto,In,October,"2015 , the","In October 2015 , the",,2023
QA,W2136893259,123,auto,Its,primary,aim is to,Its primary aim is to,,2023
QA,W2136893259,124,auto,The,app,asks its users,The app asks its users,,2023
QA,W2136893259,125,auto,The,photos,are georeferenced and,The photos are georeferenced and,,2023
QA,W2136893259,126,auto,After,clicking,on a dot,After clicking on a dot,,2023
QA,W2136893259,127,auto,The,LinguaSnapp,app is part,The LinguaSnapp app is part,,2023
QA,W2136893259,128,auto,ject,that,aims to study,ject that aims to study,,2023
QA,W2136893259,129,auto,A,localized,version was created,A localized version was created,,2023
QA,W2136893259,130,auto,For,the,"time being ,","For the time being ,",,2023
QA,W2136893259,131,auto,In,2022,", LinguaSnapp Eesti","In 2022 , LinguaSnapp Eesti",,2023
QA,W2136893259,132,auto,In,a,short review of,In a short review of,,2023
QA,W2136893259,133,auto,Possible,disadvantages,are in the,Possible disadvantages are in the,,2023
QA,W2136893259,134,auto,Lingscape,is,the second major,Lingscape is the second major,,2023
QA,W2136893259,135,auto,The,app,was developed at,The app was developed at,,2023
QA,W2136893259,136,auto,The,Lingscape,app contains an,The Lingscape app contains an,,2023
QA,W2136893259,137,auto,These,categories,largely overlap with,These categories largely overlap with,,2023
QA,W2136893259,138,auto,One,major,difference is that,One major difference is that,,2023
QA,W2136893259,139,auto,One,critical,reflection can be,One critical reflection can be,,2023
QA,W2136893259,140,auto,Some,linguistic,landscape researchers might,Some linguistic landscape researchers might,,2023
QA,W2136893259,141,auto,Although,their,aim is to,Although their aim is to,,2023
QA,W2136893259,142,auto,Such,a,purposeful use as,Such a purposeful use as,,2023
QA,W2136893259,143,auto,Another,obvious,application is using,Another obvious application is using,,2023
QA,W2136893259,144,auto,The,two,apps are good,The two apps are good,,2023
QA,W2136893259,145,auto,Critiques,of,a quantitative approach,Critiques of a quantitative approach,,2023
QA,W2136893259,146,auto,endency,to,reduce it to,endency to reduce it to,,2023
QA,W2136893259,147,auto,Thus,",",in his study,"Thus , in his study",,2023
QA,W2136893259,148,auto,In,the,"next section ,","In the next section ,",,2023
QA,W2136893259,150,auto,In,the,introduction to this,In the introduction to this,,2023
QA,W2136893259,151,auto,Qualitative,approaches,are important for,Qualitative approaches are important for,,2023
QA,W2136893259,152,auto,In,some,early linguistic landscape,In some early linguistic landscape,,2023
QA,W2136893259,153,auto,For,example,", in his","For example , in his",,2023
QA,W2136893259,154,auto,These,studies,show that by,These studies show that by,,2023
QA,W2136893259,155,auto,Other,questions,relate to the,Other questions relate to the,,2023
QA,W2136893259,156,auto,Simple,answers,to such research,Simple answers to such research,,2023
QA,W2136893259,157,auto,In,terms,of qualitative approaches,In terms of qualitative approaches,,2023
QA,W2136893259,158,auto,A,first,outline was presented,A first outline was presented,,2023
QA,W2136893259,159,auto,The,same,qualitative ethnographic approach,The same qualitative ethnographic approach,,2023
QA,W2136893259,160,auto,Blommaert,and,Maly ( 2016,Blommaert and Maly ( 2016,,2023
QA,W2136893259,161,auto,Using,ELLA,", the researchers","Using ELLA , the researchers",,2023
QA,W2136893259,162,auto,The,qualitative,elements of the,The qualitative elements of the,,2023
QA,W2136893259,163,auto,These,findings,point to the,These findings point to the,,2023
QA,W2136893259,164,auto,identity,aspirations,of different groups,identity aspirations of different groups,,2023
QA,W2136893259,165,auto,This,implies,that signs are,This implies that signs are,,2023
QA,W2136893259,166,auto,As,the,"authors argue ,","As the authors argue ,",,2023
QA,W2136893259,167,auto,Moving,back,and forth from,Moving back and forth from,,2023
QA,W2136893259,168,auto,In,the,analytic work of,In the analytic work of,,2023
QA,W2136893259,169,auto,Although,not,"using ELLA ,","Although not using ELLA ,",,2023
QA,W2136893259,170,auto,Her,qualitative,"approach is ,","Her qualitative approach is ,",,2023
QA,W2136893259,171,auto,She,looks,into ' translingual,She looks into ' translingual,,2023
QA,W2136893259,172,auto,The,offline,data include photographs,The offline data include photographs,,2023
QA,W2136893259,173,auto,The,online,data include the,The online data include the,,2023
QA,W2136893259,174,auto,Examples,of,the analysis include,Examples of the analysis include,,2023
QA,W2136893259,175,auto,The,targeted,consumers ' need,The targeted consumers ' need,,2023
QA,W2136893259,176,auto,The,results,of qualitative studies,The results of qualitative studies,,2023
QA,W2136893259,177,auto,In,a,widely quoted article,In a widely quoted article,,2023
QA,W2136893259,178,auto,She,emphasized,a range of,She emphasized a range of,,2023
QA,W2136893259,179,auto,She,suggested,the following eight,She suggested the following eight,,2023
QA,W2136893259,180,auto,She,further,elaborated each of,She further elaborated each of,,2023
QA,W2136893259,181,auto,riteria,",","for example ,","riteria , for example ,",,2023
QA,W2136893259,182,auto,Or,",",for the criterion,"Or , for the criterion",,2023
QA,W2136893259,183,auto,This,list,is not intended,This list is not intended,,2023
QA,W2136893259,184,auto,It,can,be useful to,It can be useful to,,2023
QA,W2136893259,185,auto,It,is,not always made,It is not always made,,2023
QA,W2136893259,186,auto,Mixed,Methods,: Combining Quantitative,Mixed Methods : Combining Quantitative,,2023
QA,W2136893259,187,auto,They,studied,the relative prominence,They studied the relative prominence,,2023
QA,W2136893259,188,auto,Variations,in,language usage are,Variations in language usage are,,2023
QA,W2136893259,189,auto,In,a,follow - up,In a follow - up,,2023
QA,W2136893259,190,auto,He,first,held an interview,He first held an interview,,2023
QA,W2136893259,191,auto,His,interest,was in the,His interest was in the,,2023
QA,W2136893259,192,auto,He,contrasted,the findings of,He contrasted the findings of,,2023
QA,W2136893259,193,auto,Blackwood,and,Tufi ( 2015,Blackwood and Tufi ( 2015,,2023
QA,W2136893259,194,auto,They,position,their work in,They position their work in,,2023
QA,W2136893259,195,auto,Another,clear,example of a,Another clear example of a,,2023
QA,W2136893259,196,auto,ell,(,2016 ) 4,ell ( 2016 ) 4,,2023
QA,W2136893259,197,auto,For,each,world - city,For each world - city,,2023
QA,W2136893259,198,auto,Through,a,quantitative method the,Through a quantitative method the,,2023
QA,W2136893259,199,auto,They,claim,to ' use,They claim to ' use,,2023
QA,W2136893259,200,auto,Some,of,the choices are,Some of the choices are,,2023
QA,W2136893259,201,auto,It,is,more of an,It is more of an,,2023
QA,W2136893259,202,auto,Names,are,", of course","Names are , of course",,2023
QA,W2136893259,203,auto,A,consequence,of the choice,A consequence of the choice,,2023
QA,W2136893259,204,auto,In,the,"downtown streets ,","In the downtown streets ,",,2023
QA,W2136893259,205,auto,The,results,of all the,The results of all the,,2023
QA,W2136893259,206,auto,In,a,final comparison of,In a final comparison of,,2023
QA,W2136893259,207,auto,Reershemius,(,2020 ) built,Reershemius ( 2020 ) built,,2023
QA,W2136893259,208,auto,She,used,similar research methods,She used similar research methods,,2023
QA,W2136893259,209,auto,In,our,"own work ,","In our own work ,",,2023
QA,W2136893259,210,auto,Overall,",",we can observe,"Overall , we can observe",,2023
QA,W2136893259,211,auto,In,this,"context , triangulation","In this context , triangulation",,2023
QA,W2136893259,212,auto,Its,origins,can be found,Its origins can be found,,2023
QA,W2136893259,213,auto,The,assumption,of triangulation is,The assumption of triangulation is,,2023
QA,W2136893259,214,auto,As,Tracy,( 2010 :,As Tracy ( 2010 :,,2023
QA,W2136893259,215,auto,43,),"argued , '","43 ) argued , '",,2023
QA,W2136893259,216,auto,An,alternative,term is crystallization,An alternative term is crystallization,,2023
QA,W2136893259,217,auto,The,goal,is not so,The goal is not so,,2023
QA,W2136893259,218,auto,After,this,discussion of the,After this discussion of the,,2023
QA,W2136893259,219,auto,Two,issues,that are important,Two issues that are important,,2023
QA,W2136893259,220,auto,First,",",there is the,"First , there is the",,2023
QA,W2136893259,221,auto,Unit,of,analysis,Unit of analysis,,2023
QA,W2136893259,222,auto,The,issue,of the unit,The issue of the unit,,2023
QA,W2136893259,223,auto,The,linguistic,landscape refers to,The linguistic landscape refers to,,2023
QA,W2136893259,224,auto,An,important,issue then becomes,An important issue then becomes,,2023
QA,W2136893259,225,auto,In,other,"words , if","In other words , if",,2023
QA,W2136893259,226,auto,In,quantitative,"research , signs","In quantitative research , signs",,2023
QA,W2136893259,227,auto,However,",",the unit of,"However , the unit of",,2023
QA,W2136893259,228,auto,Decisions,about,the unit of,Decisions about the unit of,,2023
QA,W2136893259,229,auto,In,his,large - scale,In his large - scale,,2023
QA,W2136893259,230,auto,This,definition,has been followed,This definition has been followed,,2023
QA,W2136893259,231,auto,For,instance,", she counted","For instance , she counted",,2023
QA,W2136893259,232,auto,of,a,screw used to,of a screw used to,,2023
QA,W2136893259,233,auto,One,could,ask if that,One could ask if that,,2023
QA,W2136893259,234,auto,Except,",","perhaps , for","Except , perhaps , for",,2023
QA,W2136893259,235,auto,On,the,"other hand ,","On the other hand ,",,2023
QA,W2136893259,236,auto,BOX,4.1,MOVING SIGNS,BOX 4.1 MOVING SIGNS,,2023
QA,W2136893259,237,auto,An,issue,closely related to,An issue closely related to,,2023
QA,W2136893259,238,auto,Backhaus,(,2007 : 67,Backhaus ( 2007 : 67,,2023
QA,W2136893259,239,auto,The,ever,- changing texts,The ever - changing texts,,2023
QA,W2136893259,240,auto,In,selecting,the unit of,In selecting the unit of,,2023
QA,W2136893259,241,auto,Researchers,continue,to struggle somewhat,Researchers continue to struggle somewhat,,2023
QA,W2136893259,242,auto,Survey,area,or research site,Survey area or research site,,2023
QA,W2136893259,243,auto,Researchers,usually,go to a,Researchers usually go to a,,2023
QA,W2136893259,244,auto,The,four,classic studies that,The four classic studies that,,2023
QA,W2136893259,245,auto,As,we,"made clear ,","As we made clear ,",,2023
QA,W2136893259,246,auto,For,his,"sample , Backhaus","For his sample , Backhaus",,2023
QA,W2136893259,247,auto,In,his,"final sample ,","In his final sample ,",,2023
QA,W2136893259,248,auto,His,research,goal was to,His research goal was to,,2023
QA,W2136893259,249,auto,Following,public,transport axes as,Following public transport axes as,,2023
QA,W2136893259,250,auto,In,her,early linguistic landscape,In her early linguistic landscape,,2023
QA,W2136893259,251,auto,Our,own,first study took,Our own first study took,,2023
QA,W2136893259,252,auto,al.,(,1977 ) (,al. ( 1977 ) (,,2023
QA,W2136893259,253,auto,The,selection,of one or,The selection of one or,,2023
QA,W2136893259,254,auto,For,example,", Coluzzi (","For example , Coluzzi (",,2023
QA,W2136893259,255,auto,He,deliberately,excluded central shopping,He deliberately excluded central shopping,,2023
QA,W2136893259,256,auto,Further,",",for his analysis,"Further , for his analysis",,2023
QA,W2136893259,257,auto,Therefore,",",his sample was,"Therefore , his sample was",,2023
QA,W2136893259,258,auto,Likewise,",",Moriarty ( 2014,"Likewise , Moriarty ( 2014",,2023
QA,W2136893259,259,auto,In,order,to determine the,In order to determine the,,2023
QA,W2136893259,260,auto,This,gave,her the information,This gave her the information,,2023
QA,W2136893259,261,auto,In,their,huge quantitative study,In their huge quantitative study,,2023
QA,W2136893259,262,auto,However,",",after this experience,"However , after this experience",,2023
QA,W2136893259,263,auto,He,argues,that ' it,He argues that ' it,,2023
QA,W2136893259,264,auto,One,technological,advanced approach was,One technological advanced approach was,,2023
QA,W2136893259,265,auto,He,selected,the radial highways,He selected the radial highways,,2023
QA,W2136893259,266,auto,Of,course,", this reminds","Of course , this reminds",,2023
QA,W2136893259,267,auto,Streets,were,also of concern,Streets were also of concern,,2023
QA,W2136893259,268,auto,The,most,elaborate design for,The most elaborate design for,,2023
QA,W2136893259,269,auto,She,starts,out from the,She starts out from the,,2023
QA,W2136893259,270,auto,She,proposed,to select areas,She proposed to select areas,,2023
QA,W2136893259,271,auto,Soukup,(,2020 ) considers,Soukup ( 2020 ) considers,,2023
QA,W2136893259,272,auto,Those,variables,"are age ,","Those variables are age ,",,2023
QA,W2136893259,274,auto,st,step,resulted in the,st step resulted in the,,2023
QA,W2136893259,275,auto,In,each,"street , starting","In each street , starting",,2023
QA,W2136893259,276,auto,The,result,of the count,The result of the count,,2023
QA,W2136893259,277,auto,As,we,"saw , individual","As we saw , individual",,2023
QA,W2136893259,278,auto,In,one,of our follow,In one of our follow,,2023
QA,W2136893259,279,auto,They,used,it to take,They used it to take,,2023
QA,W2136893259,280,auto,Various,other,researchers have also,Various other researchers have also,,2023
QA,W2136893259,281,auto,Papen,(,2012 ) focused,Papen ( 2012 ) focused,,2023
QA,W2136893259,282,auto,She,assumes,that changes in,She assumes that changes in,,2023
QA,W2136893259,283,auto,Blommaert,(,2013 ) based,Blommaert ( 2013 ) based,,2023
QA,W2136893259,284,auto,He,builds,a strong case,He builds a strong case,,2023
QA,W2136893259,285,auto,Blommaert,and,Maly ( 2016,Blommaert and Maly ( 2016,,2023
QA,W2136893259,286,auto,It,is,", by the","It is , by the",,2023
QA,W2136893259,287,auto,The,level,of neighborhood as,The level of neighborhood as,,2023
QA,W2136893259,288,auto,For,example,", using a","For example , using a",,2023
QA,W2136893259,289,auto,In,our,"opinion , the","In our opinion , the",,2023
QA,W2136893259,290,auto,Other,different,"survey areas ,","Other different survey areas ,",,2023
QA,W2136893259,292,auto,pproach,that,almost does not,pproach that almost does not,,2023
QA,W2136893259,293,auto,Chinatowns,are,a special category,Chinatowns are a special category,,2023
QA,W2136893259,294,auto,Those,typical,neighborhoods can usually,Those typical neighborhoods can usually,,2023
QA,W2136893259,295,auto,In,Chapter,"6 , we","In Chapter 6 , we",,2023
QA,W2136893259,296,auto,Chinatowns,are,an example of,Chinatowns are an example of,,2023
QA,W2136893259,297,auto,For,example,", Amos (","For example , Amos (",,2023
QA,W2136893259,298,auto,He,contrasted,the area officially,He contrasted the area officially,,2023
QA,W2136893259,299,auto,Bilingual,street,signs are an,Bilingual street signs are an,,2023
QA,W2136893259,300,auto,The,officially,placed bilingual Chinese,The officially placed bilingual Chinese,,2023
QA,W2136893259,301,auto,In,her,study of Chinatown,In her study of Chinatown,,2023
QA,W2136893259,302,auto,In,her,study of a,In her study of a,,2023
QA,W2136893259,303,auto,This,makes,it possible to,This makes it possible to,,2023
QA,W2136893259,304,auto,This,is,also true for,This is also true for,,2023
QA,W2136893259,305,auto,We,already,saw that Ben,We already saw that Ben,,2023
QA,W2136893259,306,auto,Troyer,(,2016 ) included,Troyer ( 2016 ) included,,2023
QA,W2136893259,307,auto,We,already,mentioned that the,We already mentioned that the,,2023
QA,W2136893259,308,auto,Similarly,",",Martinez ( 2015,"Similarly , Martinez ( 2015",,2023
QA,W2136893259,309,auto,in,Colombia,.,in Colombia .,,2023
QA,W2136893259,310,auto,Likewise,",","in Bishkek ,","Likewise , in Bishkek ,",,2023
QA,W2136893259,311,auto,In,this,"chapter , our","In this chapter , our",,2023
QA,W2136893259,312,auto,We,have,presented a selection,We have presented a selection,,2023
QA,W2136893259,313,auto,Malinowski,and,Tufi ( 2020,Malinowski and Tufi ( 2020,,2023
QA,W2136893259,314,auto,As,we,mentioned in Chapter,As we mentioned in Chapter,,2023
QA,W2136893259,315,auto,Two,recent,proposals which we,Two recent proposals which we,,2023
QA,W2136893259,316,auto,On,the,"one hand ,","On the one hand ,",,2023
QA,W2136893259,317,auto,In,this,"chapter , we","In this chapter , we",,2023
QA,W2136893259,318,auto,We,evidently,could not solve,We evidently could not solve,,2023
QA,W2136893259,319,auto,It,is,important that researchers,It is important that researchers,,2023
QA,W2136893259,320,auto,As,a,"starting point ,","As a starting point ,",,2023
QA,W2136893259,321,auto,The,field,of linguistic landscape,The field of linguistic landscape,,2023
QA,W2136893259,322,auto,This,can,", of course","This can , of course",,2023
QA,W2136893259,323,auto,Following,methodological,norms includes an,Following methodological norms includes an,,2023
QA,W2136893259,324,auto,An,example,of such a,An example of such a,,2023
QA,W2136893259,325,auto,Transparent,",","controlled , rigorous","Transparent , controlled , rigorous",,2023
QA,W2136893259,326,auto,Three,shop,signs : Chinese,Three shop signs : Chinese,,2023
QA,W2136893259,327,auto,Rabot,",",the superdiverse neighborhood,"Rabot , the superdiverse neighborhood",,2023
QA,W2136893259,328,auto,Sign,in,Ülemiste shopping mall,Sign in Ülemiste shopping mall,,2023
QA,W2136893259,329,auto,he,airport,( Tallinn ),he airport ( Tallinn ),,2023
QA,W2136893259,330,auto,Moving,signs,on trolleybus (,Moving signs on trolleybus (,,2023
QA,W2136893259,331,auto,Another,example,is Lai (,Another example is Lai (,,2023
QA,W2136893259,332,auto,Likewise,",",Brown ( 2007,"Likewise , Brown ( 2007",,2023
QA,W2136893259,333,auto,Recently,",",Tang ( 2020,"Recently , Tang ( 2020",,2023
QA,W2136893259,334,auto,The,sample,included photographs of,The sample included photographs of,,2023
QA,W2136893259,335,auto,What,we,learn from all,What we learn from all,,2023
QA,W2136893259,336,auto,Huebner,(,"2006 , 2009","Huebner ( 2006 , 2009",,2023
QA,W2136893259,337,auto,He,took,samples from 15,He took samples from 15,,2023
QA,W2136893259,338,auto,Figure,4,. 7 47,Figure 4 . 7 47,,2023
QA,W2136893259,339,auto,Two,streets,in Donostia -,Two streets in Donostia -,,2023
QA,W2136893259,340,auto,ct,urban,"- rural ,","ct urban - rural ,",,2023
QA,W4224436908,0,auto,Microbiota,in,health and diseases,Microbiota in health and diseases,,2022
QA,W4224436908,1,auto,Department,of,Pharmaceutical Sciences Institute,Department of Pharmaceutical Sciences Institute,,2022
QA,W4224436908,2,auto,NF,-,κB JAK1 /,NF - κB JAK1 /,,2022
QA,W4224436908,3,auto,Wnt,/,β- catenin signaling,Wnt / β- catenin signaling,,2022
QA,W4224436908,4,auto,Decreased,anti,-inflammatory cytokines IL,Decreased anti -inflammatory cytokines IL,,2022
QA,W4224436908,5,auto,hway,TLR4/MyD88,-NF - κB,hway TLR4/MyD88 -NF - κB,,2022
QA,W4224436908,6,auto,The,role,of microbiota in,The role of microbiota in,,2022
QA,W4224436908,7,auto,Depending,on,the localized regions,Depending on the localized regions,,2022
QA,W4224436908,8,auto,The,microbial,communities are in,The microbial communities are in,,2022
QA,W4224436908,9,auto,However,",",microbiota dysbiosis can,"However , microbiota dysbiosis can",,2022
QA,W4224436908,10,auto,In,this,"review , we","In this review , we",,2022
QA,W4224436908,11,auto,We,first,summarize the research,We first summarize the research,,2022
QA,W4224436908,12,auto,Then,",",we highlight the,"Then , we highlight the",,2022
QA,W4224436908,13,auto,Finally,",",we introduce the,"Finally , we introduce the",,2022
QA,W4224436908,15,auto,The,origin,"of "" microbiota","The origin of "" microbiota",,2022
QA,W4224436908,16,auto,It,was,found that a,It was found that a,,2022
